date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2019-06-10,AFKS,BUY,216,9.235,0.0,signal,8.856857142857143,9.802214285714285,1.0,3,2,70.17070979335134,9.04045,9.02904,0.06639625303442642,0.038432239176161315,up,0.18907142857142872,0.027964013858265108,0.03118496413127951,,
2019-06-18,AFKS,SELL,216,9.324428571428571,19.31657142857152,stop_loss,9.324428571428571,9.802214285714285,0.8200000000000001,2,2,69.07894736842114,9.2066,9.0381,0.11993808924624894,0.07638221693390844,,,0.043555872312340496,0.02594576856653473,9.235,2019-06-10
2019-08-21,AFKS,BUY,99,11.165,0.0,signal,10.440571428571428,12.251642857142857,0.6000000000000001,2,1,31.94756554307112,11.53875,11.052159999999999,-0.09445654787678137,0.05032836982604004,up,0.36221428571428593,-0.14478491770282143,-0.18420144479436074,,
2019-09-04,AFKS,SELL,99,11.842,67.02300000000014,signal,11.171285714285714,12.251642857142857,1.0,1,4,73.00884955752211,11.35895,11.449200000000001,0.07837147839334513,0.025625198524785692,,,0.05274627986855944,0.03788283620411064,11.165,2019-08-21
2019-09-19,AFKS,BUY,160,12.5,0.0,signal,11.843,13.4855,0.87,3,1,67.30310262529832,12.04335,11.771859999999998,0.3400745249861572,0.2801187566691746,up,0.3285000000000001,0.05995576831698263,0.09087696985543736,,
2019-10-02,AFKS,SELL,160,12.315857142857142,-29.462857142857217,stop_loss,12.315857142857142,13.4855,0.42000000000000004,1,1,48.656163113994445,12.582699999999999,11.94834,0.2348032710793202,0.2957789112865634,,,-0.06097564020724322,-0.02554671823864363,12.5,2019-09-19
2019-10-17,AFKS,BUY,152,13.228,0.0,signal,12.683857142857143,14.044214285714286,1.0,4,1,57.7981651376147,12.64195,12.107259999999998,0.17540026361204397,0.14811139339300114,up,0.2720714285714285,0.027288870219042832,-0.004935635101364966,,
2019-10-21,AFKS,SELL,152,13.639,62.47199999999994,signal,13.056,14.044214285714286,1.0,2,3,72.20475976650201,12.73415,12.177719999999999,0.27317878912579197,0.1854483556999498,,,0.08773043342584216,0.061617415801952374,13.228,2019-10-17
2019-12-12,AFKS,BUY,94,15.01,0.0,signal,14.111571428571429,16.357642857142856,0.7000000000000001,2,1,32.44781783681215,15.492849999999999,14.44224,0.12663632986613393,0.26940533209371026,up,0.44921428571428546,-0.14276900222757632,-0.14615091911567218,,
2020-01-08,AFKS,SELL,94,15.094,7.895999999999965,signal,14.893857142857144,16.357642857142856,0.6,0,3,53.9303482587064,15.085549999999998,15.093380000000002,0.011620402525846174,0.02642810932814194,,,-0.014807706802295765,-0.017202612719053535,15.01,2019-12-12
2020-02-12,AFKS,BUY,82,18.782,0.0,signal,17.71614285714286,20.380785714285715,0.72,2,1,65.52147239263806,17.75335,16.19408,0.7799312250176769,0.7722352002326126,up,0.5329285714285711,0.007696024785064259,0.01719346424511692,,
2020-02-19,AFKS,SELL,82,18.341285714285714,-36.13857142857144,stop_loss,18.341285714285714,20.380785714285715,0.42000000000000004,1,1,58.603268945022315,18.454250000000002,16.5677,0.7021302255617847,0.7642922677243262,,,-0.06216204216254151,-0.025949447177077145,18.782,2020-02-12
2020-05-06,AFKS,BUY,75,14.515,0.0,signal,13.517000000000001,16.012,0.62,2,1,66.74968866749691,13.89855,13.76128,0.1739611545547497,0.04779006448998299,up,0.49899999999999967,0.1261710900647667,0.127109915463055,,
2020-06-02,AFKS,SELL,75,16.012,112.27499999999999,take_profit,15.243571428571427,16.012,1.0,2,4,78.72281093139988,14.703,13.943320000000002,0.43609525077709144,0.2911353881961923,,,0.14495986258089916,0.10289723611674834,14.515,2020-05-06
2020-07-20,AFKS,BUY,106,19.222,0.0,signal,18.07,20.950000000000003,1.0,4,2,69.25249891351588,17.6132,16.337239999999998,0.587145825076238,0.5293466523234799,up,0.5760000000000005,0.05779917275275814,-0.00450037290557781,,
2020-07-22,AFKS,SELL,106,19.272,5.299999999999699,signal,18.119142857142855,20.950000000000003,1.0,2,3,71.77519701368722,17.82885,16.523139999999998,0.6609127170535878,0.5696801476711919,,,0.09123256938239588,0.07010141200845155,19.222,2020-07-20
2020-07-23,AFKS,BUY,63,19.005,0.0,signal,17.803142857142856,20.807785714285714,0.62,2,1,67.47252747252745,17.9254,16.613539999999997,0.6665071801722817,0.5890455541714099,up,0.6009285714285719,0.07746162600087181,0.09123256938239588,,
2020-08-03,AFKS,SELL,63,18.61542857142857,-24.543000000000035,stop_loss,18.61542857142857,20.807785714285714,0.7899999999999999,2,2,80.95832293486397,18.63165,17.316,0.6952628310933804,0.6444945558816909,,,0.05076827521168947,0.02732174532549836,19.005,2020-07-23
2020-08-18,AFKS,BUY,31,20.94,0.0,signal,18.536428571428573,24.545357142857146,0.62,2,1,67.00882775610756,20.1085,18.50184,0.8493240824021058,0.8306329503151705,up,1.2017857142857147,0.01869113208693529,0.06492417137538242,,
2020-08-19,AFKS,SELL,31,20.95,0.3099999999999383,signal,18.536428571428573,24.545357142857146,0.7,1,3,68.37928153717624,20.1924,18.58202,0.8078814419378517,0.8260826486397067,,,-0.01820120670185499,0.01869113208693529,20.94,2020-08-18
2020-09-11,AFKS,BUY,63,20.966,0.0,signal,19.731571428571428,22.817642857142857,0.64,2,1,36.18157543391204,20.99195,19.94014,0.21468197231006414,0.34696053010607997,up,0.617214285714286,-0.13227855779601583,-0.15629900746901237,,
2020-09-21,AFKS,SELL,63,20.223857142857142,-46.75500000000013,stop_loss,20.223857142857142,22.817642857142857,0.97,4,1,28.88365837256218,20.969600000000003,20.30676,0.07614279932855084,0.21110367726329027,,,-0.13496087793473943,-0.08333257553746548,20.966,2020-09-11
2020-10-06,AFKS,BUY,36,23.42,0.0,signal,21.298000000000002,26.603,0.64,2,1,63.63884715202842,21.3216,20.97594,0.516191597241761,0.2832886250598894,up,1.0609999999999993,0.23290297218187161,0.17849805432032395,,
2020-10-14,AFKS,SELL,36,26.1,96.47999999999999,signal,24.017000000000003,26.603,1.0,2,4,79.8554011908137,22.31885,21.51414,1.079710726842798,0.7060457415311272,,,0.3736649853116707,0.298677465245375,23.42,2020-10-06
2020-10-26,AFKS,BUY,42,25.374,0.0,signal,23.572714285714284,28.07592857142857,0.62,2,1,67.95295847115028,24.106,22.2449,1.0986414853548183,1.076941924702392,up,0.9006428571428567,0.021699560652426397,0.07271752828009248,,
2020-11-09,AFKS,SELL,42,28.07592857142857,113.48099999999997,take_profit,25.641000000000002,28.07592857142857,1.0,3,3,73.57600905318748,25.551750000000002,23.08842,0.9711535705947476,0.91776961089655,,,0.05338395969819765,-0.020316364738643955,25.374,2020-10-26
2020-12-17,AFKS,BUY,35,28.84,0.0,signal,26.712857142857143,32.03071428571428,0.6000000000000001,2,1,31.233171782444813,29.87595,28.058179999999997,-0.10275775589182246,0.25011421424690855,up,1.0635714285714282,-0.352871970138731,-0.44744989791994266,,
2020-12-30,AFKS,SELL,35,28.641,-6.965000000000057,signal,27.014428571428574,32.03071428571428,0.5,0,3,53.36198956094565,28.6159,28.70742,-0.10757810345605634,-0.09923218544746104,,,-0.008345918008595299,-0.019692007370295556,28.84,2020-12-17
2021-01-27,AFKS,BUY,44,31.583,0.0,signal,29.420142857142856,34.827285714285715,0.77,3,1,68.93587760013752,30.603200000000005,30.151840000000004,0.8307209439634988,0.6844700136054501,up,1.0814285714285714,0.1462509303580487,0.2323270165721476,,
2021-02-02,AFKS,SELL,44,33.829,98.8240000000001,signal,31.44142857142857,34.827285714285715,1.0,2,4,71.98343567042694,31.32405,30.191979999999997,0.9002827865704752,0.7729859333834216,,,0.12729685318705364,0.04633354771875697,31.583,2021-01-27
2021-02-03,AFKS,BUY,32,33.562,0.0,signal,31.188999999999997,37.1215,0.62,2,1,67.64407025693129,31.534399999999998,30.208160000000003,0.9570902980066833,0.8098068063080739,up,1.1865,0.14728349169860944,0.12729685318705364,,
2021-02-05,AFKS,SELL,32,34.83,40.57600000000002,signal,32.470571428571425,37.1215,0.99,2,3,74.4630071599045,32.0275,30.27456,1.1361321352589862,0.910075956446583,,,0.22605617881240314,0.17502042174163301,33.562,2021-02-03
2021-02-11,AFKS,BUY,33,35.024,0.0,signal,32.72271428571429,38.47592857142857,0.62,2,1,69.09487208902144,32.971199999999996,30.64638,1.3918901992798212,1.1825828685242787,up,1.1506428571428564,0.20930733075554242,0.28048209535763524,,
2021-02-18,AFKS,SELL,33,35.35,10.758000000000017,signal,33.646571428571434,38.47592857142857,0.9699999999999999,1,4,76.55897821187075,34.01505,31.209719999999997,1.2780305092457738,1.2848734306050633,,,-0.006842921359289544,0.04513028630502225,35.024,2021-02-11
2021-04-01,AFKS,BUY,60,34.915,0.0,signal,33.34985714285715,37.26271428571428,0.79,3,1,36.838667537557086,34.68605,34.54198,-0.05503712166216701,0.01462587817256418,up,0.7825714285714278,-0.06966299983473119,-0.12973571632869693,,
2021-04-08,AFKS,SELL,60,36.028,66.77999999999997,signal,34.41985714285715,37.26271428571428,0.95,1,4,69.17821981113126,34.839999999999996,34.86226,0.15685034274697784,0.06174862461923124,,,0.0951017181277466,0.023605158545296094,34.915,2021-04-01
2021-04-19,AFKS,BUY,53,35.779,0.0,signal,33.843428571428575,38.68235714285714,0.82,4,0,60.89362850971927,35.365050000000004,35.338159999999995,0.5197706091974794,0.41229648840155664,up,0.9677857142857142,0.10747412079592278,0.20648084591993499,,
2021-04-20,AFKS,SELL,53,34.792,-52.3110000000001,signal,33.843428571428575,38.68235714285714,0.77,1,3,53.204819277108456,35.397149999999996,35.3228,0.37859372588928863,0.4055559358991031,,,-0.02696221000981447,0.10747412079592278,35.779,2021-04-19
2022-06-21,AFKS,BUY,138,12.972,0.0,signal,12.225571428571428,14.091642857142856,0.82,4,0,50.253411306042885,12.7066,12.70442,-0.06962249108140206,-0.12657525484947407,up,0.37321428571428555,0.05695276376807201,0.0358797263639799,,
2022-06-24,AFKS,SELL,138,14.091642857142856,154.51071428571424,take_profit,13.102285714285715,14.091642857142856,0.8200000000000001,2,2,68.20678513731826,12.80365,12.70588,0.11033186561004804,-0.04526259969685642,,,0.15559446530690446,0.1059216872873843,12.972,2022-06-21
2022-07-22,AFKS,BUY,64,13.56,0.0,signal,12.360857142857142,15.358714285714287,0.6000000000000001,2,1,32.20464656450817,14.220999999999998,13.35412,-0.06690034133747425,0.11722537536908934,up,0.5995714285714288,-0.18412571670656358,-0.22550787021349109,,
2022-08-26,AFKS,SELL,64,14.5,60.15999999999997,signal,13.673142857142857,15.358714285714287,0.7999999999999999,1,3,65.04773765047734,14.274799999999999,14.142719999999999,0.1510361451575175,0.15315121341765553,,,-0.00211506826013802,0.0002642795687047006,13.56,2022-07-22
2022-08-29,AFKS,BUY,105,14.58,0.0,signal,13.703285714285714,15.89507142857143,0.72,4,0,61.09057301293899,14.295300000000001,14.17772,0.1534182643129416,0.15320462359671275,up,0.43835714285714317,0.00021364071622884118,-0.00211506826013802,,
2022-09-05,AFKS,SELL,105,14.646142857142856,6.944999999999828,stop_loss,14.646142857142856,15.89507142857143,1.0,5,1,61.394680086268835,14.519,14.29384,0.20862537139839432,0.16171604344529783,,,0.04690932795309649,-0.004566709099142752,14.58,2022-08-29
2022-11-15,AFKS,BUY,104,12.585,0.0,signal,11.697571428571429,13.916142857142859,0.72,4,0,55.23394131641557,12.4757,12.423119999999999,0.24941311665421573,0.1964611849707001,up,0.44371428571428584,0.05295193168351564,0.0993779815961871,,
2022-12-13,AFKS,SELL,104,12.146142857142857,-45.641142857142924,stop_loss,12.146142857142857,13.916142857142859,1.0,5,1,29.205607476635507,12.60865,12.19482,-0.032398415967525906,0.02543569713515637,,,-0.05783411310268227,-0.05025461027293748,12.585,2022-11-15
2023-02-01,AFKS,BUY,167,12.736,0.0,signal,12.109428571428571,13.675857142857144,0.82,4,0,64.24189307624891,12.30335,12.300260000000002,0.08749511758096773,0.03796814458139472,up,0.31328571428571433,0.04952697299957301,0.03654461073650285,,
2023-02-06,AFKS,SELL,167,13.592,142.95199999999997,signal,12.952,13.675857142857144,1.0,2,4,75.67954220314735,12.4827,12.331380000000001,0.22793032870473517,0.10636398818743405,,,0.12156634051730113,0.08363842178470998,12.736,2023-02-01
2023-02-28,AFKS,BUY,107,13.0,0.0,signal,12.226285714285714,14.160571428571428,0.64,2,1,35.19658929417341,13.00795,12.503880000000002,0.08289836519376159,0.11748775343404136,up,0.3868571428571426,-0.03458938824027977,-0.04753940505553525,,
2023-03-20,AFKS,SELL,107,13.309000000000001,33.063000000000116,stop_loss,13.309000000000001,14.160571428571428,1.0,3,3,71.71239356669824,13.136099999999999,12.83336,0.17215192595800488,0.1462006178389494,,,0.025951308119055494,-0.013124947677270321,13.0,2023-02-28
2023-04-07,AFKS,BUY,114,14.778,0.0,signal,13.962142857142858,16.001785714285713,0.72,2,1,69.97282608695652,14.115200000000002,13.44606,0.4317133267897759,0.4047454266811284,up,0.4079285714285712,0.026967900108647525,0.03920286493241887,,
2023-04-11,AFKS,SELL,114,14.372142857142858,-46.26771428571422,stop_loss,14.372142857142858,16.001785714285713,0.87,3,1,68.17111459968604,14.2738,13.55132,0.42442305988791773,0.4161021760857494,,,0.008320883802168333,0.037106113816315234,14.778,2023-04-07
2023-04-26,AFKS,BUY,139,15.476,0.0,signal,14.655000000000001,16.7075,1.0,4,1,64.68926553672317,14.8738,13.95204,0.35444142428132075,0.34201153903272286,up,0.4105,0.012429885248597894,-0.002677096423285563,,
2023-05-03,AFKS,SELL,139,14.981428571428571,-68.7454285714287,stop_loss,14.981428571428571,16.7075,0.67,1,3,51.92655027092114,15.021600000000001,14.1733,0.3283838845585194,0.36362444242406344,,,-0.03524055786554403,0.027143226290442357,15.476,2023-04-26
2023-06-16,AFKS,BUY,129,16.564,0.0,signal,15.865857142857143,17.611214285714286,0.72,2,1,68.16927322907088,15.931000000000001,15.461359999999999,0.2856793083153786,0.22436322004832412,up,0.34907142857142837,0.06131608826705445,0.056537859115631056,,
2023-06-20,AFKS,SELL,129,17.057,63.59699999999981,signal,16.353714285714286,17.611214285714286,1.0,2,4,76.0,16.04325,15.55094,0.35886515463893076,0.2661753899104804,,,0.09268976472845036,0.07455891472017462,16.564,2023-06-16
2023-06-23,AFKS,BUY,129,16.75,0.0,signal,15.949,17.9515,0.87,3,1,65.96666666666667,16.2468,15.68354,0.40652702212252123,0.338981347846854,up,0.4004999999999998,0.06754567427566721,0.10502048937070979,,
