date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-03-19,BANEP,BUY,1,1678.0,0.0,signal,1616.5714285714287,1770.142857142857,0.6699999999999999,3,0,64.67780429594272,1617.725,1521.74,41.89460778187049,41.72953079092515,up,30.714285714285715,0.16507699094533734,-0.7289955369659893,,
2018-03-23,BANEP,SELL,1,1677.0,-1.0,signal,1633.0,1770.142857142857,0.7999999999999999,1,3,68.01909307875894,1639.875,1545.17,41.6823045679123,42.10073748413964,,,-0.4184329162273457,1.052707915362383,1678.0,2018-03-19
2018-04-27,BANEP,BUY,1,1800.0,0.0,signal,1712.7142857142858,1930.9285714285716,1.0,3,2,65.75342465753425,1731.8,1673.87,24.542369843069537,23.773186353161005,up,43.642857142857146,0.7691834899085315,-3.2759339282825337,,
2018-04-30,BANEP,SELL,1,1824.5,24.5,signal,1749.4285714285713,1930.9285714285716,1.0,2,3,79.95735607675905,1742.8,1684.15,32.83643109208151,26.45061140602513,,,6.385819686056383,4.323880525400092,1800.0,2018-04-27
2018-08-27,BANEP,BUY,1,1695.0,0.0,signal,1642.642857142857,1773.5357142857142,0.6699999999999999,3,0,56.928838951310865,1676.05,1673.9,7.220264567261438,4.402073971443064,up,26.178571428571427,2.8181905958183737,2.931467372139054,,
2018-09-04,BANEP,SELL,1,1720.0,25.0,signal,1681.642857142857,1773.5357142857142,1.0,2,4,73.5,1689.85,1669.99,9.783610515220062,6.954772043455711,,,2.8288384717643504,1.727349298274241,1695.0,2018-08-27
2018-09-10,BANEP,BUY,1,1718.0,0.0,signal,1680.642857142857,1774.0357142857142,0.72,2,1,65.42553191489361,1694.225,1669.83,12.278508548696209,9.679153580778717,up,18.678571428571427,2.599354967917492,2.9589522016560696,,
2018-09-12,BANEP,SELL,1,1748.5,30.5,signal,1711.357142857143,1774.0357142857142,1.0,2,4,77.88018433179724,1700.75,1669.77,15.958445032272493,11.620174708370007,,,4.338270323902487,3.4258141864626612,1718.0,2018-09-10
2018-09-13,BANEP,BUY,1,1735.0,0.0,signal,1698.4285714285713,1789.857142857143,0.87,3,1,68.61924686192468,1703.7,1669.3,16.264279056304304,12.548995577956868,up,18.285714285714285,3.7152834783474358,4.338270323902487,,
2018-09-19,BANEP,SELL,1,1770.0,35.0,signal,1729.7142857142858,1789.857142857143,1.0,2,3,77.97202797202797,1717.45,1678.8,19.86218888942858,15.772352237904927,,,4.089836651523653,3.2122200968441543,1735.0,2018-09-13
2018-11-06,BANEP,BUY,1,1885.0,0.0,signal,1817.0714285714287,1986.892857142857,1.0,4,2,66.90821256038646,1828.975,1800.75,10.158349765119965,9.360733722879232,up,33.964285714285715,0.7976160422407332,-2.951382952380344,,
2018-11-13,BANEP,SELL,1,1859.2142857142858,-25.78571428571422,stop_loss,1859.2142857142858,1986.892857142857,0.54,2,0,57.61467889908257,1849.0,1820.81,18.379628308262,16.10181004362175,,,2.277818264640249,5.302822014995746,1885.0,2018-11-06
2018-12-04,BANEP,BUY,1,1888.0,0.0,signal,1810.0,2005.0,0.6699999999999999,3,0,54.74452554744525,1861.75,1850.69,4.264777110252453,2.805055557480861,up,39.0,1.459721552771592,-1.2294875314378215,,
2018-12-14,BANEP,SELL,1,1823.642857142857,-64.35714285714289,stop_loss,1823.642857142857,2005.0,0.42000000000000004,1,1,56.481481481481474,1854.925,1849.4,2.912392713806639,5.2440362036705315,,,-2.3316434898638922,-1.7848164032588576,1888.0,2018-12-04
