date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2021-04-12,FLOT,BUY,22,90.48,0.0,signal,88.97285714285714,92.74071428571429,0.65,2,1,54.22535211267612,90.0185,90.42119999999998,-0.26957501865659594,-0.3104309790196868,sideways,0.7535714285714304,0.04085596036309086,-0.03806475706859802,,
2021-04-15,FLOT,SELL,22,91.2,15.839999999999975,signal,89.53,92.74071428571429,0.8700000000000001,1,3,60.477001703577564,89.94399999999999,90.37180000000001,-0.056535750982419586,-0.22844458960039565,,,0.17190883861797607,0.10140244730819747,90.48,2021-04-12
2021-05-28,FLOT,BUY,21,92.19,0.0,signal,89.73857142857142,95.86714285714285,0.72,2,1,66.07319485657766,90.0355,89.88980000000001,0.6568953619430005,0.27461788612396254,up,1.2257142857142864,0.3822774758190379,0.41273641158295893,,
2021-06-01,FLOT,SELL,21,94.32,44.729999999999905,signal,91.58857142857141,95.86714285714285,1.0,2,4,71.75090252707582,90.57300000000001,90.0342,1.0017758649308774,0.5100037527421835,,,0.491772112188694,0.44977135428418946,92.19,2021-05-28
2021-06-07,FLOT,BUY,21,94.35,0.0,signal,91.64142857142856,98.41285714285715,0.72,2,1,68.14479638009044,91.7135,90.42280000000001,1.3305821746322692,0.9643700724041631,up,1.354285714285717,0.3662121022281062,0.44935411255384394,,
2021-06-18,FLOT,SELL,21,93.42,-19.529999999999845,signal,93.35142857142857,98.41285714285715,0.92,1,4,46.37462235649545,93.775,91.2714,1.032138891838727,1.1256183138702007,,,-0.09347942203147364,0.04508311595656078,94.35,2021-06-07
2021-07-01,FLOT,BUY,21,93.01,0.0,signal,89.92285714285714,97.6407142857143,0.79,3,1,39.40256045519213,93.9725,91.8742,0.199802776506246,0.5299305394091953,up,1.5435714285714306,-0.3301277629029493,-0.3519686465174585,,
2021-07-02,FLOT,SELL,21,88.09,-103.32000000000004,stop_loss,89.92285714285714,97.6407142857143,1.0,5,1,21.685606060606162,93.6845,91.8642,-0.16991019161801546,0.3899623932037532,,,-0.5598725848217687,-0.3301277629029493,93.01,2021-07-01
2021-10-26,FLOT,BUY,22,87.03,0.0,signal,83.48857142857143,92.34214285714286,0.6699999999999999,3,0,60.10966415352983,86.393,86.37700000000001,0.2612279311322112,0.24293907853906518,up,1.7707142857142852,0.018288852593146027,0.02515977469971098,,
2021-11-10,FLOT,SELL,22,84.41428571428571,-57.54571428571438,stop_loss,84.41428571428571,92.34214285714286,0.42000000000000004,1,1,40.08620689655173,86.49,86.1574,-0.22450049069095712,-0.06764260393309138,,,-0.15685788675786574,-0.10500958730789813,87.03,2021-10-26
2022-08-30,FLOT,BUY,32,40.5,0.0,signal,37.15571428571428,45.51642857142857,0.9199999999999999,3,2,72.74678111587988,37.8825,37.7628,0.7202472974465124,0.4602612052083419,up,1.6721428571428574,0.2599860922381705,0.2153537216817365,,
2022-09-20,FLOT,SELL,32,40.25714285714285,-7.771428571428714,stop_loss,40.25714285714285,45.51642857142857,0.7700000000000001,3,1,40.48706240487062,41.0015,38.313399999999994,0.575693483338533,0.9902651607255296,,,-0.41457167738699663,-0.10293530266150364,40.5,2022-08-30
2022-11-10,FLOT,BUY,33,37.95,0.0,signal,35.31142857142857,41.90785714285715,0.75,3,1,66.71140939597318,37.0985,36.912400000000005,0.7670014964988852,0.653787459912446,up,1.3192857142857142,0.11321403658643914,0.17636066618310464,,
