date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-04-13,GAZP,BUY,8,143.21,0.0,signal,134.58142857142857,156.15285714285716,0.6,2,0,54.70395931710862,140.894,140.87040000000002,0.21013629281901558,-0.12329698758636454,up,4.314285714285712,0.3334332804053801,,,
2018-05-29,GAZP,SELL,8,144.32142857142858,8.891428571428605,stop_loss,144.32142857142858,156.15285714285716,0.0,1,1,47.56847400782559,146.2705,143.68619999999999,0.3609708918631327,0.9294767579373261,,,-0.5685058660741934,-0.47462170138392823,143.21,2018-04-13
2018-08-01,GAZP,BUY,13,142.14,0.0,signal,136.8342857142857,150.0985714285714,0.6,2,0,43.647363872082906,142.1805,141.8184,-0.5526662272198166,-0.6563952264336307,up,2.6528571428571417,0.10372899921381407,,,
2018-08-14,GAZP,SELL,13,140.32571428571427,-23.585714285714317,stop_loss,140.32571428571427,150.0985714285714,0.0,1,1,57.44471744471749,140.692,141.4526,0.40487252069976876,0.15220225520159208,,,0.25267026549817667,0.4690494011595596,142.14,2018-08-01
2019-04-30,GAZP,BUY,11,163.95,0.0,signal,157.85571428571427,173.09142857142854,0.6,2,0,52.128929566255465,161.0665,156.6908,1.7581313599193038,1.685814948761914,up,3.0471428571428527,0.07231641115738974,,,
2019-05-14,GAZP,SELL,11,163.0,-10.449999999999875,stop_loss,180.94285714285715,173.09142857142854,0.0,3,3,81.72121212121209,164.257,158.68240000000003,3.611387665498455,2.204216874920502,,,1.4071707905779531,-0.21485958965845264,163.95,2019-04-30
2019-07-31,GAZP,BUY,4,236.9,0.0,signal,219.43571428571428,263.0964285714286,0.6,2,0,41.86156763590393,234.555,230.21059999999997,-0.09886782368886315,-0.3478123011400765,up,8.732142857142856,0.24894447745121334,,,
2019-08-05,GAZP,SELL,4,223.61,-53.15999999999997,signal,219.43571428571428,263.0964285714286,0.6,0,2,39.314336598397155,231.10750000000002,231.49740000000003,-0.6385622052773101,-0.2930397265039164,,,-0.3455224787733937,,236.9,2019-07-31
2019-09-13,GAZP,BUY,9,232.5,0.0,signal,225.62142857142857,242.81785714285712,0.6,2,0,56.6617320503331,231.90349999999998,231.268,1.0962501570269012,1.0047541288213067,up,3.4392857142857105,0.09149602820559455,,,
2019-09-20,GAZP,SELL,9,228.55857142857144,-35.47285714285704,stop_loss,228.55857142857144,242.81785714285712,0.0,1,1,42.974137931034484,232.49750000000003,229.69320000000005,0.4823572391275377,0.8850627523049301,,,-0.40270551317739245,-0.2502527592903836,232.5,2019-09-13
2019-12-20,GAZP,BUY,8,255.5,0.0,signal,247.59142857142857,267.36285714285714,0.6,2,0,52.79814743342337,251.1835,248.828,0.6939406614593508,0.4468206583015524,up,3.9542857142857133,0.24712000315779847,,,
2020-01-10,GAZP,SELL,8,251.76142857142858,-29.90857142857135,stop_loss,251.76142857142858,267.36285714285714,0.55,0,2,49.6510004653327,253.164,253.91240000000002,1.2242048391720175,1.4199165361514463,,,-0.1957116969794288,,255.5,2019-12-20
2020-05-18,GAZP,BUY,7,192.5,0.0,signal,183.24142857142857,206.38785714285711,0.6,2,0,59.153410622809375,186.90699999999998,183.11480000000003,-0.3269925475148341,-0.5362233613216632,up,4.62928571428571,0.20923081380682906,,,
2020-06-03,GAZP,SELL,7,206.38785714285711,97.2149999999998,take_profit,198.10142857142858,206.38785714285711,0.0,2,3,82.4750606632515,193.177,189.01399999999998,3.875538117587297,2.5383548312330584,,,1.3371832863542386,0.9671522613246677,192.5,2020-05-18
2020-07-06,GAZP,BUY,8,199.95,0.0,signal,191.63,212.42999999999998,0.6,2,0,54.27885897094106,197.2395,193.7482,0.30920620360694784,0.30583013448573615,up,4.159999999999998,0.003376069121211689,,,
2020-07-14,GAZP,SELL,8,194.10714285714286,-46.74285714285702,stop_loss,194.10714285714286,212.42999999999998,0.0,1,2,51.02669404517452,196.175,195.18719999999996,0.586376534040113,0.6689603174909204,,,-0.08258378345080741,0.22368629741535762,199.95,2020-07-06
2021-01-04,GAZP,BUY,5,215.73,0.0,signal,201.90428571428572,236.4685714285714,0.6,2,0,64.97713414634146,203.2055,185.706,7.248646036422343,7.230479644664037,up,6.912857142857141,0.018166391758306588,,,
2021-01-22,GAZP,SELL,5,216.5,3.850000000000051,stop_loss,217.12428571428572,236.4685714285714,0.0,1,1,52.78858625162128,218.19650000000001,201.56800000000004,6.0726958787073215,7.805357542451552,,,-1.7326616637442305,-1.087127767486738,215.73,2021-01-04
2021-02-09,GAZP,BUY,6,227.1,0.0,signal,216.6142857142857,242.82857142857142,0.6,2,0,54.117647058823515,220.8055,210.3026,3.0576039509185193,3.044479559441506,up,5.242857142857143,0.013124391477013386,,,
2021-02-19,GAZP,SELL,6,222.0614285714286,-30.23142857142841,stop_loss,222.0614285714286,242.82857142857142,0.0,1,3,67.39936440677965,221.75849999999997,216.5666,3.3302436543411886,3.360485703187966,,,-0.03024204884677717,0.10685427381559887,227.1,2021-02-09
2021-03-09,GAZP,BUY,8,232.32,0.0,signal,221.37142857142857,248.74285714285713,0.7999999999999999,2,0,49.888268156424566,224.9975,221.0244,1.7178282051237659,1.6166097494887512,up,5.474285714285713,0.10121845563501464,,,
2021-03-18,GAZP,SELL,8,225.95285714285714,-50.93714285714282,stop_loss,225.95285714285714,248.74285714285713,0.0,2,0,55.99036724864544,226.8965,224.14860000000002,2.6588647708140343,2.6458320175740093,,,0.013032753240024952,0.4165818015702518,232.32,2021-03-09
2021-04-19,GAZP,BUY,6,230.62,0.0,signal,219.7442857142857,246.93357142857144,0.6,2,0,55.72947430596573,226.87600000000003,226.6834,1.596674905068852,0.6951076800600702,up,5.4378571428571485,0.9015672250087818,,,
2021-05-13,GAZP,SELL,6,246.93357142857144,97.88142857142861,take_profit,237.83285714285716,246.93357142857144,0.0,2,2,81.2743823146945,235.462,230.39260000000002,4.197751853296893,3.012735495727286,,,1.1850163575696069,1.1132164599948116,230.62,2021-04-19
2021-07-02,GAZP,BUY,7,285.65,0.0,signal,276.5742857142857,299.2635714285714,0.7,2,0,61.3997113997114,276.6125,260.55039999999997,5.899832472861135,5.856229277274237,up,4.537857142857145,0.04360319558689785,,,
2021-07-14,GAZP,SELL,7,282.89,-19.319999999999936,stop_loss,288.93142857142857,299.2635714285714,0.0,1,2,58.9861751152074,283.7735,270.2812,6.849672133304182,7.212585332369328,,,-0.3629131990651464,0.5418550362606833,285.65,2021-07-02
2021-08-04,GAZP,BUY,7,287.94,0.0,signal,277.9814285714285,302.8778571428572,0.6,2,0,62.54349889275544,284.976,279.5682,1.9251588398960848,1.8968166008342988,up,4.979285714285725,0.028342239061786012,,,
2021-08-06,GAZP,SELL,7,277.9814285714285,-69.71000000000032,stop_loss,277.9814285714285,302.8778571428572,0.0,1,1,60.31116534472235,283.983,280.4518,1.4970500813768126,1.8112307140015151,,,-0.3141806326247025,-0.028162914706433728,287.94,2021-08-04
2023-07-21,GAZP,BUY,12,171.19,0.0,signal,166.28285714285715,178.55071428571426,0.6,2,0,61.108286731062535,168.5975,168.27360000000002,0.9975854411480611,0.531088248128051,up,2.4535714285714243,0.46649719302001014,,,
2023-08-07,GAZP,SELL,12,171.3557142857143,1.9885714285716176,stop_loss,171.3557142857143,178.55071428571426,0.0,2,0,44.44964871194385,172.04000000000002,168.6432,1.412835785712275,1.300085747849815,,,0.11275003786246018,0.2954829196376174,171.19,2023-07-21
2023-08-29,GAZP,BUY,12,178.69,0.0,signal,172.1942857142857,188.4335714285714,0.7999999999999999,2,0,62.38151658767771,175.2715,171.75920000000002,1.2168214500906913,1.2081602491594656,up,3.2478571428571366,0.008661200931225688,,,
2023-09-07,GAZP,SELL,12,177.2,-17.88000000000011,stop_loss,177.2,188.4335714285714,0.0,2,0,55.2734375,177.01399999999998,173.40259999999998,1.8131874827570016,1.6284227561389384,,,0.1847647266180632,0.45126034226324174,178.69,2023-08-29
2024-01-26,GAZP,BUY,13,163.99,0.0,signal,160.09142857142857,169.83785714285716,0.6,2,0,53.57686453576862,163.53249999999997,163.2876,0.7908738284095875,0.5502685944872306,up,1.9492857142857158,0.2406052339223569,,,
2024-02-12,GAZP,SELL,13,162.49,-19.5,signal,162.1057142857143,169.83785714285716,0.55,0,1,27.85388127853882,164.775,163.22039999999998,-0.04256240215860885,0.28340615604228847,,,-0.3259685582008973,,163.99,2024-01-26
2024-07-26,GAZP,BUY,7,135.0,0.0,signal,125.82428571428571,148.76357142857142,0.6,2,0,60.060975609756106,126.70749999999998,125.555,2.708505936876705,0.948757607231494,up,4.587857142857144,1.7597483296452108,,,
2024-08-16,GAZP,SELL,7,125.82428571428571,-64.23000000000005,stop_loss,125.82428571428571,148.76357142857142,0.0,1,1,37.911227154047,130.914,124.8494,0.20567889898617864,0.8258255827583538,,,-0.6201466837721752,-0.4954792719923746,135.0,2024-07-26
2024-11-07,GAZP,BUY,8,135.52,0.0,signal,126.81714285714287,148.57428571428574,0.6,2,0,49.728752260397876,131.4675,129.5206,-0.36735677067343886,-0.5059135922752143,up,4.3514285714285705,0.1385568216017754,,,
2024-11-18,GAZP,SELL,8,129.36142857142858,-49.26857142857148,stop_loss,129.36142857142858,148.57428571428574,0.0,1,2,55.29767911200808,131.1295,131.0044,0.3265487196489687,0.3419676368308535,,,-0.015418917181884817,0.30953860008546313,135.52,2024-11-07
2025-05-11,GAZP,BUY,6,145.88,0.0,signal,134.87,162.39499999999998,0.6,2,0,44.36674436674437,144.0505,143.671,0.021943168987490935,-0.11094768527320352,up,5.504999999999994,0.13289085426069447,,,
2025-05-16,GAZP,SELL,6,135.6757142857143,-61.22571428571422,stop_loss,135.6757142857143,162.39499999999998,0.0,1,1,35.98337230449468,144.3345,141.0384,-0.3112877879855773,0.01832532248419213,,,-0.32961311046976943,-0.12172887396968886,145.88,2025-05-11
2025-08-06,GAZP,BUY,11,130.11,0.0,signal,124.18000000000002,139.00500000000002,0.6,2,0,54.56892101187407,125.67,125.0038,0.2360928016569659,-0.10271309247022631,up,2.9649999999999994,0.3388058941271922,,,
2025-08-08,GAZP,SELL,11,133.55142857142857,37.85571428571416,stop_loss,133.55142857142857,139.00500000000002,0.0,2,3,70.23004059539922,127.2585,125.49879999999999,2.0094348789410077,0.4844405420642223,,,1.5249943368767853,0.823620201261009,130.11,2025-08-06
2025-11-07,GAZP,BUY,11,120.45,0.0,signal,114.57000000000001,129.27,0.6,2,0,36.52636671504599,119.3095,118.8898,-0.6148459158092123,-0.7656401897484123,up,2.94,0.15079427393919997,,,
2025-11-17,GAZP,SELL,11,117.46857142857144,-32.795714285714226,stop_loss,117.46857142857144,129.27,0.6,0,2,56.53638814016171,118.124,118.3268,-0.14147222023422046,-0.10821459841044315,,,-0.03325762182377731,,120.45,2025-11-07
2025-12-09,GAZP,BUY,11,129.28,0.0,signal,123.29285714285714,138.2607142857143,0.6,2,0,55.036297640653366,125.724,121.781,1.9176939510131348,1.8980010553723239,up,2.9935714285714305,0.019692895640810892,,,
2025-12-22,GAZP,SELL,11,125.4842857142857,-41.752857142857266,stop_loss,125.4842857142857,138.2607142857143,0.0,2,1,42.85714285714283,127.833,123.84200000000001,0.6982541822454778,1.3123560897640254,,,-0.6141019075185477,-0.4144346065658224,129.28,2025-12-09
