date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2019-01-10,MGNT,BUY,1,3830.0,0.0,signal,3640.5714285714284,4114.142857142857,0.89,3,1,56.73940949935815,3595.6,3589.03,23.37202158814125,-4.48783814150275,up,94.71428571428571,27.859859729644,15.811596388541497,,
2019-01-15,MGNT,SELL,1,3920.0,90.0,signal,3722.8571428571427,4114.142857142857,1.0,2,4,75.19736842105263,3630.025,3605.04,61.72040289460165,22.191226011614305,,,39.52917688298734,33.38660006231572,3830.0,2019-01-10
2019-06-03,MGNT,BUY,1,3850.0,0.0,signal,3706.785714285714,4064.8214285714284,0.84,4,0,55.08317929759704,3695.3,3663.48,9.060599487493619,-6.32277136609885,up,71.60714285714286,15.383370853592469,3.918570142926603,,
2019-06-13,MGNT,SELL,1,3648.0,-202.0,stop_loss,3718.285714285714,4064.8214285714284,0.92,1,4,59.45945945945946,3709.425,3677.83,24.45310271151402,24.60251761517989,,,-0.14941490366587118,12.220167922000595,3850.0,2019-06-03
2019-07-08,MGNT,BUY,1,3935.0,0.0,signal,3772.8571428571427,4178.214285714285,0.89,3,1,63.916786226685794,3768.025,3735.4,32.22505635390735,19.385507808315904,up,81.07142857142857,12.839548545591445,5.36625174489771,,
2019-07-18,MGNT,SELL,1,3845.5,-89.5,signal,3772.8571428571427,4178.214285714285,0.7999999999999999,1,3,66.08442503639012,3823.075,3762.49,34.03455567903302,35.35114680489558,,,-1.3165911258625584,1.8899876884472846,3935.0,2019-07-08
2020-06-08,MGNT,BUY,1,3950.0,0.0,signal,3766.1428571428573,4225.785714285715,0.87,3,1,69.61178045515395,3709.3,3488.94,115.28495080025459,105.55795876684884,up,91.92857142857143,9.72699203340575,6.230618311028294,,
2020-06-17,MGNT,SELL,1,3945.0,-5.0,signal,3796.6428571428573,4225.785714285715,0.7999999999999999,1,3,65.15495086923659,3822.95,3585.31,115.67672805089478,116.73521787872257,,,-1.0584898278277848,3.9302806139903055,3950.0,2020-06-08
2020-06-25,MGNT,BUY,1,4110.0,0.0,signal,3863.3571428571427,4479.964285714285,0.77,3,1,66.13119143239625,3923.275,3656.99,117.03022175757042,111.86466934384417,up,123.32142857142857,5.165552413726246,3.0744641751780364,,
2020-06-26,MGNT,SELL,1,4182.0,72.0,signal,3933.0,4479.964285714285,1.0,2,3,72.01017811704835,3945.15,3674.91,124.09022206245345,114.30977988756604,,,9.780442174887412,5.165552413726246,4110.0,2020-06-25
2020-11-09,MGNT,BUY,1,4912.0,0.0,signal,4631.5,5332.75,0.82,4,0,47.639751552795026,4813.875,4777.36,0.4395391659454617,-2.611018156470937,up,140.25,3.050557322416399,-7.327954245745274,,
2020-12-09,MGNT,SELL,1,5051.0,139.0,stop_loss,5153.571428571428,5332.75,1.0,2,4,73.8997555012225,4977.8,4883.71,73.91807761741438,46.55096448335493,,,27.36711313405945,5.499389896250776,4912.0,2020-11-09
2021-04-23,MGNT,BUY,1,5279.5,0.0,signal,5078.0,5581.75,0.97,5,0,50.177430801987235,5179.225,5173.54,-15.893397811400064,-18.955446225867043,up,100.75,3.062048414466979,-9.896715897269694,,
2021-04-29,MGNT,SELL,1,5093.928571428572,-185.57142857142844,stop_loss,5093.928571428572,5581.75,0.42000000000000004,1,1,44.9486301369863,5160.775,5171.1,-4.95179844022914,-8.657446001750131,,,3.7056475615209905,11.965583585202817,5279.5,2021-04-23
2021-06-16,MGNT,BUY,1,5485.5,0.0,signal,5326.857142857143,5723.464285714285,1.0,4,1,65.47029702970298,5388.45,5244.42,58.66767743541004,58.29267479832148,up,79.32142857142857,0.3750026370885635,-2.0423596877227013,,
