date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-04-06,NLMK,BUY,10,150.9,0.0,signal,143.48000000000002,162.03,0.65,1,0,50.162074554295,147.344,147.38160000000002,-0.3331610127534077,-0.5768127638597215,sideways,3.709999999999996,0.24365175110631376,-0.16152164651762657,,
2018-04-09,NLMK,SELL,10,143.48000000000002,-74.19999999999987,stop_loss,143.48000000000002,162.03,0.82,1,0,46.646571213263,147.255,147.21959999999999,-0.3678436729068153,-0.5350189456691402,,,0.1671752727623249,0.24365175110631376,150.9,2018-04-06
2018-04-26,NLMK,BUY,6,159.74,0.0,signal,148.45142857142858,176.67285714285714,0.64,2,0,62.8787878787879,149.399,148.41639999999998,2.3215431710882797,1.1237769163614102,up,5.644285714285715,1.1977662547268695,0.9499548634767944,,
2018-04-27,NLMK,SELL,6,162.28,15.239999999999952,signal,152.29142857142858,176.67285714285714,0.99,0,2,75.84905660377362,150.291,148.7008,2.926467358899913,1.484315004869111,,,1.442152354030802,1.1977662547268695,159.74,2018-04-26
2018-05-03,NLMK,BUY,11,156.9,0.0,signal,147.94,170.34,0.87,2,0,65.0335570469799,153.40800000000002,149.4836,3.457885590871058,2.730524040995822,up,4.4799999999999995,0.7273615498752362,1.200374974247064,,
2018-05-07,NLMK,SELL,11,156.7,-2.2000000000001876,signal,147.94,170.34,0.7999999999999999,0,1,66.57824933687002,154.11899999999997,149.7604,2.7658363487226154,2.777463323735205,,,-0.011626975012589469,0.1993841059701218,156.9,2018-05-03
2018-05-16,NLMK,BUY,10,160.3,0.0,signal,150.96857142857144,174.2971428571429,0.82,2,0,56.89045936395761,157.081,151.15200000000002,2.4127185511807454,2.4096299810045765,up,4.665714285714287,0.0030885701761689255,-0.04395141204602737,,
2018-05-29,NLMK,SELL,10,162.4,20.999999999999943,signal,155.42571428571426,174.2971428571429,0.7999999999999999,0,1,66.11489776046741,159.685,153.6052,2.4135821416674332,2.4280279225396537,,,-0.014445780872220482,0.03918586490543685,160.3,2018-05-16
2018-06-01,NLMK,BUY,11,163.88,0.0,signal,156.68571428571428,174.67142857142858,0.69,2,0,57.4829931972789,160.368,154.5748,2.5613775205800096,2.4869718792389577,up,3.59714285714286,0.07440564134105188,0.14912322859378557,,
2018-06-05,NLMK,SELL,11,169.94,66.66000000000003,signal,162.44571428571427,174.67142857142858,1.0,0,2,71.17750439367315,161.63000000000002,155.4216,3.0325552433920393,2.6266658381669323,,,0.40588940522510697,0.15288643048679074,163.88,2018-06-01
2018-06-08,NLMK,BUY,10,168.86,0.0,signal,161.29142857142858,180.21285714285716,0.69,2,0,62.20285261489709,163.951,156.97400000000002,3.627703374020882,3.091195889789916,up,3.7842857142857134,0.5365074842309663,0.7372761412405247,,
2018-06-15,NLMK,SELL,10,168.58,-2.8000000000000114,signal,163.95428571428573,180.21285714285716,0.77,0,1,60.43338683788128,166.31199999999998,159.49040000000002,3.2208781730896874,3.367182523716557,,,-0.14630435062686953,0.06460274331114446,168.86,2018-06-08
2018-07-10,NLMK,BUY,9,161.0,0.0,signal,153.16857142857143,172.74714285714288,0.65,1,0,59.60179833012201,157.494,160.5468,-1.7147034566231412,-2.166211927579239,sideways,3.9157142857142913,0.4515084709560977,-0.0607947975457348,,
2018-07-24,NLMK,SELL,9,162.76,15.839999999999918,signal,155.15142857142857,172.74714285714288,0.87,0,2,70.39999999999998,156.463,160.7492,0.346189119727228,-0.49974597713763175,,,0.8459350968648598,0.6985849591400838,161.0,2018-07-10
2018-08-22,NLMK,BUY,9,160.7,0.0,signal,151.79999999999998,174.04999999999998,0.6699999999999999,2,0,51.41776937618144,159.12,158.2228,-0.5428065099663968,-0.6456226909804871,up,4.449999999999997,0.10281618101409029,-0.2073877133117159,,
2018-09-19,NLMK,SELL,9,174.04999999999998,120.14999999999995,take_profit,166.78857142857146,174.04999999999998,0.69,2,0,59.410234171725946,166.86700000000002,162.2204,3.091740776871916,2.5747554550287024,,,0.5169853218432134,0.5837007781829087,160.7,2018-08-22
2018-09-26,NLMK,BUY,11,171.56,0.0,signal,164.13428571428574,182.69857142857143,0.87,2,0,65.34653465346535,170.225,164.0128,3.5614304385534012,3.3273814492347977,up,3.712857142857138,0.23404898931860352,0.6991027788512563,,
2018-10-03,NLMK,SELL,11,182.69857142857143,122.52428571428567,take_profit,175.95142857142858,182.69857142857143,1.0,0,2,71.02206736353074,173.517,165.8948,4.212586606296242,3.7321541782850884,,,0.48043242801115316,0.19392268639705224,171.56,2018-09-26
2018-10-04,NLMK,BUY,10,182.0,0.0,signal,173.76857142857142,194.34714285714284,0.72,2,0,66.49888143176733,174.442,166.26559999999998,4.323610999300371,3.850445542488145,up,4.115714285714284,0.47316545681222566,0.48043242801115316,,
2018-10-11,NLMK,SELL,10,171.56,-104.39999999999998,stop_loss,173.76857142857142,194.34714285714284,0.0,1,2,38.24561403508773,176.23000000000002,167.6836,2.219994290123765,3.439647285618222,,,-1.219652995494457,-0.4197186515627713,182.0,2018-10-04
2019-02-15,NLMK,BUY,12,157.24,0.0,signal,150.95142857142858,166.67285714285714,0.85,2,0,67.4136321195146,154.236,154.1388,0.9406469109834461,0.7434173197401155,up,3.144285714285709,0.19722959124333062,0.2035494031955234,,
2019-03-04,NLMK,SELL,12,156.28,-11.520000000000095,stop_loss,156.28,166.67285714285714,1.0,2,0,61.132437619961586,157.603,154.59959999999998,1.337528842680939,1.0160870738416872,,,0.3214417688392519,0.11679390222177832,157.24,2019-02-15
2019-03-22,NLMK,BUY,12,166.7,0.0,signal,159.50285714285715,177.49571428571426,0.72,2,0,67.2043010752688,164.06900000000002,157.97719999999998,3.043169079683878,2.9271539494100747,up,3.598571428571422,0.11601513027380328,0.35521713911401154,,
2019-04-11,NLMK,SELL,12,169.09142857142857,28.69714285714292,stop_loss,169.09142857142857,177.49571428571426,0.0,0,0,53.960857409133304,170.41400000000002,163.7012,2.5191770642254028,2.998472463065114,,,-0.47929539883971106,-0.09728546969080032,166.7,2019-03-22
