date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-04-09,NLMK,BUY,8,145.84,0.0,signal,137.28285714285715,158.6757142857143,0.6,3,0,46.646571213263,147.255,147.21959999999999,-0.3678436729068153,-0.5350189456691402,sideways,4.278571428571427,0.1671752727623249,0.24365175110631376,,
2018-04-24,NLMK,SELL,8,155.5,77.27999999999997,signal,144.12571428571428,158.6757142857143,0.85,1,3,65.54894537587887,147.94,148.0232,1.3900613141722147,0.5868466368104941,,,0.8032146773617206,0.585019838145155,145.84,2018-04-09
2018-05-16,NLMK,BUY,7,160.3,0.0,signal,150.96857142857144,174.2971428571429,0.6,3,0,56.89045936395761,157.081,151.15200000000002,2.4127185511807454,2.4096299810045765,up,4.665714285714287,0.0030885701761689255,-0.04395141204602737,,
2018-05-29,NLMK,SELL,7,162.4,14.69999999999996,signal,155.42571428571426,174.2971428571429,0.6499999999999999,1,3,66.11489776046741,159.685,153.6052,2.4135821416674332,2.4280279225396537,,,-0.014445780872220482,0.03918586490543685,160.3,2018-05-16
2020-05-20,NLMK,BUY,11,128.1,0.0,signal,121.79142857142857,137.56285714285713,0.6,3,0,54.61936437546194,124.225,122.02120000000001,-0.41918904287345526,-0.6112354520399309,up,3.1542857142857152,0.19204640916647564,-0.23684429860345246,,
2020-05-27,NLMK,SELL,11,137.56285714285713,104.09142857142845,take_profit,128.37714285714284,137.56285714285713,0.0,2,2,68.25595984943538,125.727,123.7752,1.8979892154725917,0.4734998471181877,,,1.424489368354404,1.191988261059955,128.1,2020-05-20
2020-07-24,NLMK,BUY,11,144.5,0.0,signal,138.23714285714286,153.8942857142857,0.6,3,0,51.33004926108374,139.975,136.0472,1.295796637180132,1.0995674741598782,up,3.1314285714285677,0.19622916302025373,-0.08440273591614722,,
2020-08-10,NLMK,SELL,11,153.8942857142857,103.33714285714271,take_profit,147.5257142857143,153.8942857142857,0.9999999999999999,2,3,83.84754990925579,144.151,140.82399999999998,3.301124016589597,2.571567312091555,,,0.7295567044980418,0.47970102628816713,144.5,2020-07-24
2020-10-23,NLMK,BUY,11,179.98,0.0,signal,171.46285714285713,192.75571428571428,0.7999999999999999,3,1,59.411404046597156,172.65,166.47240000000002,2.6267243086551844,2.3122541291198253,up,4.258571428571427,0.31447017953535905,-0.061728133367826565,,
2020-11-02,NLMK,SELL,11,188.16,89.98000000000008,signal,178.62285714285716,192.75571428571428,0.9999999999999999,2,3,82.83582089552237,175.607,169.1984,4.449786913706021,3.3819378815169356,,,1.067849032189085,0.8374086902532802,179.98,2020-10-23
2021-03-18,NLMK,BUY,5,218.72,0.0,signal,205.33142857142857,238.80285714285714,0.6,4,0,48.36512261580381,215.45700000000002,214.888,0.9413900309625092,0.885311547146852,up,6.694285714285714,0.056078483815657165,-0.15735934136192398,,
2021-03-29,NLMK,SELL,5,229.7,54.89999999999995,signal,218.82285714285715,238.80285714285714,0.8999999999999999,2,3,73.65642994241844,217.772,214.9036,2.3063121362297636,1.234534447782929,,,1.0717776884468346,0.4679334951961809,218.72,2021-03-18
2021-09-03,NLMK,BUY,6,246.32,0.0,signal,234.81428571428572,263.5785714285714,0.6,3,0,43.714725500256534,247.195,244.0188,-0.8410160672951008,-0.8687602139054278,up,5.7528571428571444,0.02774414661032698,-0.040046522956513786,,
2021-09-06,NLMK,SELL,6,233.88,-74.63999999999999,stop_loss,234.81428571428572,263.5785714285714,0.0,1,2,35.919055649241145,246.368,244.1308,-1.4860476670685046,-0.9922177045380433,,,-0.4938299625304613,0.02774414661032698,246.32,2021-09-03
2023-03-29,NLMK,BUY,17,131.84,0.0,signal,126.09714285714286,140.4542857142857,0.7999999999999999,3,1,64.29330499468651,126.579,121.5008,1.9030043736736957,1.7398141751837224,up,2.8714285714285706,0.1631901984899733,-0.12327565359663684,,
2023-04-19,NLMK,SELL,17,140.4542857142857,146.4428571428569,take_profit,131.70285714285714,140.4542857142857,0.9999999999999999,2,3,73.42823250296564,131.232,126.7424,2.5208886070436165,2.1101620230122684,,,0.4107265840313481,0.14549926639521527,131.84,2023-03-29
2024-02-01,NLMK,BUY,9,204.58,0.0,signal,196.57142857142858,216.59285714285716,0.6,3,0,62.363067292644786,195.103,182.7152,4.976066854023031,4.737723206716105,up,4.0042857142857144,0.2383436473069267,-0.005714305614040072,,
2024-02-07,NLMK,SELL,9,196.57142857142858,-72.07714285714286,stop_loss,196.57142857142858,216.59285714285716,0.0,1,1,54.312188168210945,198.317,184.09,4.055292677522573,4.610609769390192,,,-0.5553170918676189,-0.20892975041397222,204.58,2024-02-01
2024-03-01,NLMK,BUY,10,205.92,0.0,signal,196.49142857142857,220.06285714285713,0.7999999999999999,3,1,59.451219512195095,197.821,192.9244,1.5455362592430788,1.218126611719899,up,4.714285714285713,0.3274096475231798,-0.2471414375274006,,
2024-03-21,NLMK,SELL,10,218.5,125.80000000000013,signal,208.74285714285713,220.06285714285713,0.9999999999999999,2,3,78.80710659898475,204.03300000000002,200.1352,4.088336514965533,3.1545783405086603,,,0.933758174456873,0.44967493729012364,205.92,2024-03-01
2025-02-13,NLMK,BUY,6,151.6,0.0,signal,140.45142857142858,168.32285714285712,0.6,3,0,55.21616541353382,145.29699999999997,137.40040000000002,1.6316293695632567,1.5045772068587149,up,5.574285714285712,0.12705216270454178,-0.37629836242699977,,
2025-02-14,NLMK,SELL,6,140.45142857142858,-66.89142857142849,stop_loss,140.45142857142858,168.32285714285712,0.0,2,0,59.07491201608848,145.04500000000002,137.9464,1.7913721419816397,1.5619361938832999,,,0.2294359480983399,0.12705216270454178,151.6,2025-02-13
2025-08-06,NLMK,BUY,16,114.02,0.0,signal,109.48571428571428,120.82142857142857,0.6,3,0,40.521978021978,112.61099999999999,111.61,-0.10334134916129756,-0.1562799713959822,up,2.267142857142858,0.05293862223468465,-0.1545738772647077,,
2025-08-08,NLMK,SELL,16,117.0,47.680000000000064,stop_loss,117.52,120.82142857142857,0.0,2,2,67.54468485418624,113.51100000000001,111.91560000000001,1.0618703407082108,0.15482372723772453,,,0.9070466134704863,0.33736818106434063,114.02,2025-08-06
2025-09-09,NLMK,BUY,15,123.66,0.0,signal,118.84285714285714,130.8857142857143,0.6,3,0,57.72442588726511,119.87100000000001,119.11280000000001,-0.08622682641498614,-0.22786206569512765,up,2.4085714285714306,0.14163523928014152,-0.20449262179766758,,
2025-09-11,NLMK,SELL,15,118.84285714285714,-72.25714285714282,stop_loss,118.84285714285714,130.8857142857143,0.0,1,2,46.77595628415298,119.61600000000001,119.336,-0.1919428322470651,-0.19036416280499346,,,-0.001578669442071634,0.15157028100260853,123.66,2025-09-09
2025-12-16,NLMK,BUY,20,109.8,0.0,signal,105.09142857142857,116.86285714285714,0.7999999999999999,3,1,59.23423423423423,106.624,102.73559999999999,1.4145842536875222,1.3575343588370776,up,2.3542857142857136,0.05704989485044454,-0.08212965476384748,,
2025-12-22,NLMK,SELL,20,105.09142857142857,-94.17142857142863,stop_loss,105.09142857142857,116.86285714285714,0.0,1,1,45.37607891491986,107.277,103.71600000000001,0.8900125374644006,1.2376139125688008,,,-0.34760137510440026,-0.12840761774973264,109.8,2025-12-16
