date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2025-06-23,PLDRUB_TOM,BUY,1,2701.0,0.0,signal,2569.344285714286,2898.483571428571,0.87,3,1,69.20866707338678,2596.41,2561.1462,35.60317249835134,25.74759782346571,up,65.82785714285706,9.85557467488563,9.199788218150186,,
2025-07-01,PLDRUB_TOM,SELL,1,2870.0,169.0,signal,2724.7000000000003,2898.483571428571,1.0,2,3,70.28618003984786,2671.2285,2583.8366,62.8397476933751,43.49768353252208,,,19.34206416085302,15.023713589739302,2701.0,2025-06-23
2025-07-11,PLDRUB_TOM,BUY,1,2930.0,0.0,signal,2771.517142857143,3167.7242857142855,0.87,3,1,69.44897404538662,2774.906,2638.4464000000003,72.36826929818335,67.7357517049966,up,79.24142857142849,4.632517593186748,1.6278247697838708,,
2025-07-18,PLDRUB_TOM,SELL,1,3105.0,175.0,signal,2949.651428571429,3167.7242857142855,1.0,2,3,73.04841481082178,2861.62,2686.0028,95.80319065670028,80.20041410010191,,,15.602776556598371,9.777984257688672,2930.0,2025-07-11
2025-07-25,PLDRUB_TOM,BUY,1,3046.0,0.0,signal,2881.3957142857143,3292.9064285714285,0.87,3,1,66.81400561992868,2961.939,2745.8456000000006,108.46811202468598,100.65437988235625,up,82.30214285714283,7.813732142329727,17.361243438548428,,
2025-07-31,PLDRUB_TOM,SELL,1,2990.8814285714284,-55.11857142857161,stop_loss,2990.8814285714284,3292.9064285714285,0.77,1,3,60.839160839160876,3010.3540000000003,2792.76,96.0409824914268,102.54275419548165,,,-6.501771704054846,0.2901919886325288,3046.0,2025-07-25
2025-08-19,PLDRUB_TOM,BUY,1,2918.98,0.0,signal,2772.13,3139.255,0.87,3,1,26.81964861957688,3009.7524999999996,2898.0498000000002,-10.088904814325815,14.648283641792855,up,73.42499999999995,-24.73718845611867,-29.36835383834013,,
2025-08-26,PLDRUB_TOM,SELL,1,2772.13,-146.8499999999999,stop_loss,2772.13,3139.255,0.87,3,1,24.838196013971583,2931.1205,2914.9646000000002,-39.06100737700399,-16.009936995171437,,,-23.051070381832552,-25.307723212085705,2918.98,2025-08-19
2025-09-22,PLDRUB_TOM,BUY,1,3159.99,0.0,signal,2968.302857142857,3447.520714285714,0.9,4,1,68.90420158252793,2998.9,2995.147,57.508692218935266,46.61576089423911,up,95.84357142857132,10.892931324696157,9.735605148187524,,
2025-09-26,PLDRUB_TOM,SELL,1,3400.01,240.02000000000044,signal,3179.771428571429,3447.520714285714,1.0,2,4,78.5321250492507,3097.4469999999997,3017.953,96.3986420551164,67.65512451565604,,,28.743517539460356,22.413097320152318,3159.99,2025-09-22
2025-10-06,PLDRUB_TOM,BUY,1,3439.0,0.0,signal,3207.6985714285715,3785.9521428571425,0.77,3,1,69.11924348056833,3224.0454999999997,3043.3864000000003,101.49508282006536,90.85380290091362,up,115.65071428571423,10.641279919151742,5.886866000755845,,
2025-10-07,PLDRUB_TOM,SELL,1,3533.99,94.98999999999978,signal,3294.3342857142857,3785.9521428571425,0.99,2,3,76.16783535716318,3247.795,3050.9267999999997,113.72525800730318,95.42809392219155,,,18.297164085111632,10.641279919151742,3439.0,2025-10-06
2025-12-01,PLDRUB_TOM,BUY,1,3585.0,0.0,signal,3372.5785714285716,3903.6321428571428,0.82,4,0,48.136386677401084,3533.343,3530.1848,3.1240545847344947,-1.3446188120095983,up,106.2107142857142,4.468673396744093,-0.6646104214939843,,
2025-12-11,PLDRUB_TOM,SELL,1,3680.0,95.0,signal,3494.9485714285715,3903.6321428571428,1.0,1,4,76.49690954992602,3521.965,3572.742,24.423112051367298,9.851113168215917,,,14.57199888315138,8.915871148638676,3585.0,2025-12-01
2025-12-30,PLDRUB_TOM,BUY,1,4208.32,0.0,signal,3704.972857142857,4963.340714285714,0.77,3,1,65.63648242519272,3984.7879999999996,3705.8007999999995,201.7717749040189,188.1323254435649,up,251.67357142857142,13.639449460454017,30.964971330212705,,
2026-01-16,PLDRUB_TOM,SELL,1,4424.0,215.6800000000003,signal,4145.475714285714,4963.340714285714,0.67,1,3,47.99903208994118,4397.1375,3898.0492,201.91076405532021,217.65768846259152,,,-15.746924407271308,1.4324264935661404,4208.32,2025-12-30
