date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-05-29,RNFT,BUY,2,550.0,0.0,signal,520.8571428571429,593.7142857142857,0.72,2,0,30.70866141732283,547.4,544.24,3.6091555758113145,3.177933129561021,up,14.571428571428571,0.4312224462502936,0.8195710628972499,,
2018-06-05,RNFT,SELL,2,549.0,-2.0,signal,534.4285714285714,593.7142857142857,0.77,0,1,43.96551724137931,554.975,541.09,3.207746348847195,3.4116450898940185,,,-0.2038987410468236,0.2815838286055965,550.0,2018-05-29
2018-06-14,RNFT,BUY,3,564.0,0.0,signal,543.2142857142857,595.1785714285714,0.87,2,0,58.41584158415842,552.8,539.27,3.250719722073427,2.94676309428519,up,10.392857142857142,0.30395662778823684,-0.3150155035105531,,
2018-06-21,RNFT,SELL,3,553.1428571428571,-32.57142857142867,stop_loss,553.1428571428571,595.1785714285714,0.54,2,0,50.30674846625767,556.375,541.48,4.1609390553826415,3.8294401020123123,,,0.3314989533703292,1.3310565814661586,564.0,2018-06-14
2018-07-24,RNFT,BUY,3,624.5,0.0,signal,603.7142857142857,655.6785714285714,1.0,2,0,67.0520231213873,595.375,570.9,10.169290090754657,9.887756899107561,up,10.392857142857142,0.281533191647096,-1.4583690004847405,,
2018-07-25,RNFT,SELL,3,606.7142857142857,-53.357142857143,stop_loss,606.7142857142857,655.6785714285714,0.0,1,0,65.86826347305389,599.025,572.36,11.830689946592088,10.276343508604466,,,1.554346437987622,0.281533191647096,624.5,2018-07-24
2018-08-14,RNFT,BUY,1,585.5,0.0,signal,515.0714285714286,691.1428571428571,0.77,1,0,39.86013986013986,573.1,574.36,-5.6730476642039775,-7.074460910256565,sideways,35.214285714285715,1.4014132460525879,-0.8793999797564673,,
2018-08-22,RNFT,SELL,1,612.4,26.899999999999977,signal,541.4714285714285,691.1428571428571,0.77,0,2,81.21584699453553,568.1400000000001,578.636,4.395952250328492,-1.3494553517423524,,,5.745407602070844,4.416809023763925,585.5,2018-08-14
2018-10-11,RNFT,BUY,2,595.2,0.0,signal,565.1428571428572,640.2857142857142,0.7000000000000001,1,0,32.87197231833912,598.31,590.24,0.8582031615617325,1.8339257386906405,up,15.02857142857141,-0.975722577128908,-0.8875238291811902,,
2018-10-15,RNFT,SELL,2,566.6857142857143,-57.02857142857147,stop_loss,566.6857142857143,640.2857142857142,0.0,1,1,24.764890282131603,597.37,592.394,-1.4807426200936789,0.9716771859848374,,,-2.4524198060785163,-0.9965744047446965,595.2,2018-10-11
