date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-04-25,ROSN,BUY,3,355.0,0.0,signal,324.57142857142856,400.6428571428571,0.77,2,0,67.38270209157716,324.59749999999997,322.423,8.24001976926354,3.86184949936482,up,15.21428571428571,4.37817026989872,4.189584258499487,,
2018-04-26,ROSN,SELL,3,373.05,54.150000000000034,signal,340.50714285714287,400.6428571428571,1.0,0,2,75.97847358121331,327.5825,323.36400000000003,10.591302618589111,5.207740123209678,,,5.383562495379433,4.37817026989872,355.0,2018-04-25
2018-05-23,ROSN,BUY,5,376.9,0.0,signal,356.29285714285714,407.81071428571425,0.87,2,0,28.71212121212116,387.32250000000005,346.65600000000006,11.058212776071116,14.916526388467691,up,10.303571428571425,-3.858313612396575,-3.0187723399680024,,
2018-06-19,ROSN,SELL,5,392.35,77.25000000000023,signal,378.9357142857143,407.81071428571425,1.0,0,2,68.06853582554513,381.7125,372.54699999999997,3.2192617127697645,3.348133696347527,,,-0.12887198357776253,-0.7091136175402619,376.9,2018-05-23
2018-06-20,ROSN,BUY,5,390.2,0.0,signal,376.40714285714284,410.88928571428573,0.6699999999999999,2,0,59.07590759075902,382.3775,374.26599999999996,3.440428247292914,3.3665926065366047,up,6.896428571428572,0.07383564075630922,-0.12887198357776253,,
2018-07-10,ROSN,SELL,5,410.88928571428573,103.44642857142873,take_profit,396.9214285714286,410.88928571428573,1.0,0,2,71.06227106227105,393.9625,389.48800000000006,6.541433028359563,4.991777113797876,,,1.5496559145616873,1.098727990914627,390.2,2018-06-20
2018-07-11,ROSN,BUY,4,409.85,0.0,signal,393.72857142857146,434.0321428571429,0.72,2,0,65.43321299638993,395.355,389.986,6.856470894500831,5.364715869938467,up,8.060714285714287,1.4917550245623632,1.5496559145616873,,
2018-07-20,ROSN,SELL,4,393.72857142857146,-64.48571428571427,stop_loss,393.72857142857146,434.0321428571429,0.0,0,0,48.74458874458876,400.1925,390.971,3.4982211258246707,5.110599105280288,,,-1.6123779794556174,-0.9562399308077527,409.85,2018-07-11
2018-08-22,ROSN,BUY,4,437.3,0.0,signal,417.4857142857143,467.0214285714286,0.85,2,0,66.69381107491859,422.81000000000006,407.26599999999996,7.954919664550289,7.845081944714977,up,9.907142857142853,0.10983771983531199,-0.17314724059340403,,
2018-09-26,ROSN,SELL,4,458.5,84.79999999999995,signal,443.57142857142856,467.0214285714286,1.0,0,2,73.07297019527238,442.6,429.13,6.034791369886136,5.1838298229987725,,,0.8509615468873637,0.3041829602032733,437.3,2018-08-22
2018-10-08,ROSN,BUY,3,479.45,0.0,signal,450.7,522.5749999999999,0.87,2,0,66.60995321139941,465.0375,444.58700000000005,17.026720206149832,14.236167083697616,up,14.374999999999996,2.7905531224522164,5.172820165859305,,
2018-10-23,ROSN,SELL,3,450.7,-86.25,stop_loss,450.7,522.5749999999999,0.87,2,0,12.598425196850371,476.98,453.548,1.9668831376673666,5.805917816065867,,,-3.8390346783985008,-3.39434691072091,479.45,2018-10-08
2018-11-09,ROSN,BUY,3,468.6,0.0,signal,444.9857142857143,504.0214285714286,0.69,2,0,50.90600226500568,464.76000000000005,461.474,2.3529193458719533,1.2835067622877632,up,11.807142857142853,1.0694125835841901,1.5088731265139934,,
2018-11-13,ROSN,SELL,3,444.9857142857143,-70.8428571428571,stop_loss,444.9857142857143,504.0214285714286,0.0,0,2,44.37314906219152,463.7575,462.12700000000007,-0.26877473418215914,1.053197519527254,,,-1.3219722537094132,0.40073528266737624,468.6,2018-11-09
2019-02-05,ROSN,BUY,4,428.5,0.0,signal,411.97857142857146,453.28214285714284,0.9500000000000001,1,0,55.522827687776136,419.37250000000006,420.901,-2.1958018696758472,-2.801923325220022,sideways,8.260714285714284,0.6061214555441747,-0.6093335509652502,,
2019-02-07,ROSN,SELL,4,411.97857142857146,-66.08571428571418,stop_loss,411.97857142857146,453.28214285714284,0.0,0,1,44.63462804476631,418.0375,421.319,-2.008727832265947,-2.4596476156965688,,,0.45091978343062156,0.918183054663193,428.5,2019-02-05
2019-04-09,ROSN,BUY,4,415.9,0.0,signal,402.6714285714286,435.7428571428571,0.69,2,0,60.22099447513811,409.6825,407.03899999999993,4.2248214204180385,2.895687117570856,up,6.614285714285708,1.3291343028471827,1.9159020475969726,,
2019-04-11,ROSN,SELL,4,435.7428571428571,79.3714285714284,take_profit,415.75714285714287,435.7428571428571,0.0,0,1,72.9674796747968,412.59250000000003,407.595,5.533861752215557,3.718908920001671,,,1.8149528322138861,1.4779343775093725,415.9,2019-04-09
2019-05-03,ROSN,BUY,4,423.55,0.0,signal,408.9642857142857,445.42857142857144,0.64,1,0,39.67704728950407,430.85749999999996,414.778,3.710081703374385,5.933208109672207,up,7.29285714285714,-2.2231264062978218,-1.7995740888707434,,
2019-05-20,ROSN,SELL,4,410.57142857142856,-51.914285714285825,stop_loss,410.57142857142856,445.42857142857144,0.0,1,1,21.560130010834214,424.9925,418.35900000000004,-3.159269713674007,-0.6336598144145306,,,-2.5256098992594764,-2.458743076786523,423.55,2019-05-03
2019-07-25,ROSN,BUY,4,428.95,0.0,signal,417.85,445.59999999999997,1.0,2,0,66.77524429967423,420.69750000000005,420.566,1.7228592327051047,0.5584751150358792,up,5.549999999999995,1.1643841176692256,0.9838238269580435,,
2019-08-01,ROSN,SELL,4,417.85,-44.399999999999864,stop_loss,417.85,445.59999999999997,0.0,0,2,50.22761760242789,421.465,421.44700000000006,0.6850149153940492,0.9042438509850332,,,-0.219228935590984,0.04038826954616459,428.95,2019-07-25
2019-09-19,ROSN,BUY,4,427.0,0.0,signal,413.3857142857143,447.4214285714286,0.85,2,0,67.18080548414741,415.24750000000006,414.53399999999993,3.8532304474863963,2.2422479700507445,up,6.80714285714285,1.6109824774356518,1.6564066213916098,,
