date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-11-07,RUAL,BUY,57,29.85,0.0,signal,28.187857142857144,32.34321428571428,0.7999999999999999,2,0,64.22319474835888,28.49875,26.568100000000005,0.5521118016693869,0.5505671758731097,up,0.8310714285714279,0.0015446257962772325,-0.06408687634829391,,
2018-11-15,RUAL,SELL,57,29.65,-11.400000000000162,signal,28.385714285714286,32.34321428571428,0.6499999999999999,0,1,65.88397790055248,28.947750000000003,27.533300000000004,0.5895963273927833,0.5908582022005919,,,-0.001261874807808594,0.015555081295141826,29.85,2018-11-07
2019-02-11,RUAL,BUY,23,32.1,0.0,signal,29.056428571428572,36.66535714285715,0.6,2,0,54.22297297297297,30.6085,29.5669,0.33499350561849184,0.2557058636486262,up,1.5217857142857145,0.07928764196986565,-0.01675601743354893,,
2019-03-07,RUAL,SELL,23,31.362857142857145,-16.954285714285703,stop_loss,31.362857142857145,36.66535714285715,0.0,0,0,42.46808510638298,32.0465,30.994600000000002,0.3684450165637543,0.40419091135400076,,,-0.03574589479024648,0.010289268184441203,32.1,2019-02-11
2019-09-24,RUAL,BUY,67,28.5,0.0,signal,27.43857142857143,30.092142857142857,0.6,2,0,63.69346733668343,27.63025,27.5487,0.41828112318517086,0.30331099383991855,up,0.5307142857142857,0.1149701293452523,0.13661155776899037,,
2019-10-03,RUAL,SELL,67,27.638571428571428,-57.71571428571433,stop_loss,27.638571428571428,30.092142857142857,0.0,0,0,51.21654501216547,28.190499999999997,27.636599999999998,0.3099561125678818,0.3691341623068223,,,-0.059178049738940475,-0.01742097964977024,28.5,2019-09-24
2019-10-25,RUAL,BUY,61,27.56,0.0,signal,26.408571428571427,29.287142857142857,0.6,2,0,51.64319248826292,27.492499999999996,27.4304,-0.13360016496381633,-0.13813699273446062,up,0.5757142857142864,0.004536827770644292,-0.02680466732367412,,
2019-10-28,RUAL,SELL,61,28.245,41.78500000000014,signal,27.11857142857143,29.287142857142857,0.7499999999999999,0,2,68.1751824817518,27.46475,27.481099999999998,-0.0519898552201532,-0.12090756523159915,,,0.06891771001144595,0.004536827770644292,27.56,2019-10-25
2019-12-12,RUAL,BUY,76,28.49,0.0,signal,27.673571428571428,29.714642857142856,0.6,2,0,50.766609880749535,28.077999999999996,28.051699999999997,-0.09204779677185826,-0.10364419076614871,up,0.4082142857142857,0.011596393994290452,-0.041437728380813194,,
2019-12-18,RUAL,SELL,76,29.714642857142856,93.07285714285716,take_profit,28.873571428571427,29.714642857142856,0.9999999999999999,0,2,71.04895104895104,28.282250000000005,28.1991,0.2547711018795731,0.04176689209181708,,,0.213004209787756,0.17406403825283825,28.49,2019-12-12
2020-05-20,RUAL,BUY,58,26.265,0.0,signal,25.01857142857143,28.134642857142858,0.6,2,0,51.74506828528075,25.92025,25.3412,-0.09415177116157736,-0.13215165673060927,up,0.6232142857142858,0.037999885569031916,-0.005381164102738145,,
2020-05-27,RUAL,SELL,58,28.134642857142858,108.4392857142857,take_profit,26.263571428571428,28.134642857142858,0.9999999999999999,0,2,70.86183310533514,26.17275,25.350299999999997,0.25040345636059413,0.02859774027302004,,,0.2218057160875741,0.1742178140965058,26.265,2020-05-20
2020-09-15,RUAL,BUY,45,32.99,0.0,signal,30.830714285714286,36.228928571428575,0.7999999999999999,2,0,60.79999999999999,31.66975,29.533799999999996,0.7443130654467645,0.7348635368094847,up,1.0796428571428573,0.00944952863727977,-0.0321469098730125,,
2020-09-17,RUAL,SELL,45,32.4,-26.550000000000153,signal,30.830714285714286,36.228928571428575,0.7499999999999999,0,1,66.3031624863685,31.820749999999997,29.764699999999998,0.7107455605143258,0.7307274437608419,,,-0.019981883246516063,0.003437511051944897,32.99,2020-09-15
2020-11-11,RUAL,BUY,33,32.3,0.0,signal,30.136428571428567,35.54535714285714,0.6,2,0,46.6257668711656,32.12,31.9745,-0.03834973775489203,-0.07673798168350383,up,1.0817857142857155,0.0383882439286118,-0.0015000947251691543,,
2020-11-18,RUAL,SELL,33,34.9,85.80000000000004,signal,32.81428571428571,35.54535714285714,1.0,0,2,86.14008941877798,32.18175,32.191900000000004,0.4409612100935121,0.14427301158073358,,,0.2966881985127785,0.19719212953595117,32.3,2020-11-11
2021-03-10,RUAL,BUY,21,41.05,0.0,signal,37.57857142857142,46.25714285714285,0.6,2,0,63.259402121504316,39.18975,37.5736,0.8793107838090393,0.8405297206790625,up,1.735714285714286,0.038781063129976756,-0.009721070382348262,,
2021-03-15,RUAL,SELL,21,45.67,97.0200000000001,signal,41.854285714285716,46.25714285714285,0.9999999999999999,0,2,72.8070175438596,40.28675,38.1136,1.5804015301547238,1.09340360416325,,,0.48699792599147385,0.3214225200148806,41.05,2021-03-10
2021-08-31,RUAL,BUY,26,53.03,0.0,signal,50.205000000000005,57.2675,0.6,2,0,46.582466567607725,51.787,50.677400000000006,0.1674705986856324,0.07424068231610065,up,1.412499999999999,0.09322991636953176,-0.014101111928493469,,
