date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-11-01,SBER,BUY,5,188.67,0.0,signal,176.3385714285714,207.16714285714284,0.6,2,0,46.63705583756346,187.96949999999998,187.4284,-1.2742129008599363,-1.3261479982990911,up,6.1657142857142855,0.05193509743915481,,,
2018-11-26,SBER,SELL,5,190.4242857142857,8.771428571428572,stop_loss,190.4242857142857,207.16714285714284,0.55,0,1,38.13169984686061,195.33350000000002,193.2868,1.2267283089799434,1.8762462603221786,,,-0.6495179513422351,,188.67,2018-11-01
2019-05-22,SBER,BUY,8,235.86,0.0,signal,226.32285714285715,250.1657142857143,0.85,2,0,66.08486307553417,229.50099999999998,224.56779999999998,1.1503132157097866,1.1254638278632936,up,4.76857142857143,0.024849387846493043,,,
2019-06-10,SBER,SELL,8,250.1657142857143,114.4457142857143,take_profit,237.21714285714285,250.1657142857143,0.0,2,2,68.41510287135428,234.78599999999997,231.933,4.375783004381901,2.8170187822188844,,,1.558764222163017,1.3555658785544145,235.86,2019-05-22
2019-06-11,SBER,BUY,6,235.89,0.0,signal,223.06571428571428,255.12642857142856,0.69,2,0,50.02768038383463,235.18650000000002,232.36239999999998,3.744619052098585,3.002538836194825,up,6.412142857142858,0.7420802159037603,,,
2019-07-12,SBER,SELL,6,236.40571428571428,3.0942857142857747,stop_loss,236.40571428571428,255.12642857142856,0.0,1,1,45.85170340681364,240.8505,236.70080000000002,1.1131985094264962,1.647120692143509,,,-0.5339221827170129,-0.1610649440505343,235.89,2019-06-11
2019-09-20,SBER,BUY,8,232.0,0.0,signal,226.16285714285715,240.75571428571428,0.6,2,0,60.43956043956044,228.80300000000003,227.12439999999998,2.76369666657385,2.1468098995011164,up,2.9185714285714255,0.6168867670727334,,,
2019-09-25,SBER,SELL,8,226.16285714285715,-46.69714285714281,stop_loss,226.16285714285715,240.75571428571428,0.0,1,1,43.60189573459717,230.333,226.7372,1.4464459004753962,1.9826006380925805,,,-0.5361547376171842,-0.2862842024791341,232.0,2019-09-20
2019-10-11,SBER,BUY,8,230.31,0.0,signal,223.49,240.54,0.6699999999999999,2,0,51.39460448102425,229.0275,225.62939999999998,-0.17045254531964815,-0.19349890507145343,up,3.4099999999999944,0.023046359751805273,,,
2019-10-24,SBER,SELL,8,240.54,81.83999999999992,take_profit,236.23428571428573,240.54,0.0,2,3,85.12280701754378,230.37949999999995,228.08199999999997,2.985698053178055,1.4986029538158419,,,1.4870950993622132,1.2926423110983587,230.31,2019-10-11
2019-10-31,SBER,BUY,8,234.89,0.0,signal,226.82571428571427,246.98642857142855,0.69,2,0,57.16520650813513,233.46499999999997,230.1814,2.7626509567114397,2.5263566169310705,up,4.032142857142857,0.23629433978036918,,,
2019-11-27,SBER,SELL,8,233.6642857142857,-9.805714285714203,stop_loss,233.6642857142857,246.98642857142855,0.0,2,1,31.250000000000014,238.20300000000003,234.109,0.35824184880468124,1.1798107734488974,,,-0.8215689246442162,-0.694644388907949,234.89,2019-10-31
2019-12-12,SBER,BUY,8,241.05,0.0,signal,234.78714285714287,250.4442857142857,0.6,2,0,57.36629667003031,236.2665,235.4282,0.4738145019942408,-0.136711940404116,up,3.1314285714285695,0.6105264423983567,,,
2019-12-27,SBER,SELL,8,250.4442857142857,75.1542857142856,take_profit,245.54857142857145,250.4442857142857,0.0,2,2,85.86437440305633,241.20850000000002,239.3432,3.5589122529121084,2.5299666970677706,,,1.028945555844338,0.9326569187251597,241.05,2019-12-12
2020-01-16,SBER,BUY,7,257.51,0.0,signal,249.40285714285713,269.67071428571427,0.87,2,0,66.17155588562943,251.90099999999998,243.14520000000002,5.0686094395269095,4.886837133867605,up,4.053571428571424,0.18177230565930458,,,
2020-01-22,SBER,SELL,7,269.67071428571427,85.12499999999994,take_profit,258.6642857142857,269.67071428571427,0.0,2,2,71.15721800116903,256.40749999999997,245.28379999999999,6.104715627496148,5.439646559250039,,,0.6650690682461091,0.7267816073474167,257.51,2020-01-16
2020-01-23,SBER,BUY,7,263.73,0.0,signal,254.33857142857144,277.81714285714287,0.69,2,0,63.0751310425161,257.3585,245.755,5.892902771881012,5.530297801776234,up,4.695714285714284,0.362604970104778,,,
2020-01-27,SBER,SELL,7,256.2014285714286,-52.699999999999875,stop_loss,256.2014285714286,277.81714285714287,0.0,1,4,51.58058771148707,258.5255,246.5438,4.850180987633053,5.437458119004613,,,-0.5872771313715601,0.2159184002850747,263.73,2020-01-23
2020-05-20,SBER,BUY,10,193.98,0.0,signal,185.31714285714284,206.9742857142857,0.95,2,0,51.7824773413897,191.23999999999998,190.8006,-1.6920281551351763,-1.89739356862354,up,4.33142857142857,0.20536541348836357,,,
2020-06-02,SBER,SELL,10,206.9742857142857,129.94285714285724,take_profit,201.21428571428572,206.9742857142857,0.0,2,4,74.27728613569323,194.3115,192.3286,2.901885858299181,0.5845317811522716,,,2.3173540771469097,1.7912150209613444,193.98,2020-05-20
2020-06-09,SBER,BUY,7,217.23,0.0,signal,204.95714285714286,235.6392857142857,0.72,2,0,67.78882938026013,200.204,195.50239999999997,6.747026124281547,4.216901076954385,up,6.136428571428573,2.5301250473271617,,,
2020-06-15,SBER,SELL,7,204.95714285714286,-85.90999999999994,stop_loss,204.95714285714286,235.6392857142857,0.6,1,0,61.98589894242067,203.8655,196.9666,5.192359234457285,4.958290647582754,,,0.23406858687453092,,217.23,2020-06-09
2020-07-07,SBER,BUY,8,211.41,0.0,signal,201.40285714285716,226.42071428571427,0.6699999999999999,2,0,55.42009011396768,209.35999999999999,200.93040000000002,2.0607648555264575,1.9945883025829019,up,5.0035714285714255,0.06617655294355562,,,
2020-07-24,SBER,SELL,8,207.71000000000004,-29.59999999999968,stop_loss,207.71000000000004,226.42071428571427,0.6,2,0,54.36491518411256,211.02399999999997,205.94960000000003,2.6629067959484303,2.191002526217309,,,0.4719042697311213,,211.41,2020-07-07
2020-08-20,SBER,BUY,7,230.7,0.0,signal,219.01,248.23499999999999,0.69,2,0,59.703914013384704,228.1145,217.1212,6.275860985714786,6.2177271998427575,up,5.844999999999999,0.058133785872028554,,,
2020-09-03,SBER,SELL,7,219.0557142857143,-81.5099999999999,stop_loss,219.0557142857143,248.23499999999999,0.55,0,1,18.816388467374793,230.7165,220.65240000000003,0.15757780082307704,2.3292363295522387,,,-2.1716585287291617,,230.7,2020-08-20
2020-09-18,SBER,BUY,7,229.0,0.0,signal,219.5442857142857,243.1835714285714,0.6,2,0,55.8411214953271,224.95149999999998,224.145,0.9310862966319746,0.10339514633972975,up,4.7278571428571405,0.8276911502922448,,,
2020-09-29,SBER,SELL,7,224.9,-28.69999999999996,signal,219.62857142857143,243.1835714285714,0.75,0,2,61.32478632478633,224.8645,226.27920000000003,0.6059323734347117,0.6097455761396322,,,-0.003813202704920471,,229.0,2020-09-18
2020-11-30,SBER,BUY,5,249.65,0.0,signal,237.03285714285715,268.5757142857143,0.6,2,0,63.169210922382284,237.41099999999997,222.928,8.784505783964363,8.00266413239351,up,6.308571428571428,0.7818416515708524,,,
2020-12-04,SBER,SELL,5,268.5757142857143,94.62857142857146,take_profit,256.7942857142857,268.5757142857143,0.0,2,3,72.55902999361837,247.8725,225.9332,11.212027175844867,9.477901239795518,,,1.7341259360493488,1.5431719877415162,249.65,2020-11-30
2021-01-11,SBER,BUY,7,288.85,0.0,signal,274.06428571428575,311.02857142857147,1.0,2,0,59.21710639765475,274.684,254.799,6.3748795019950535,6.305671142350885,up,7.392857142857147,0.06920835964416838,,,
2021-01-18,SBER,SELL,7,274.06428571428575,-103.49999999999994,stop_loss,274.06428571428575,311.02857142857147,0.0,1,1,62.35122154938401,275.425,262.60400000000004,5.697003868416914,6.292479802718635,,,-0.5954759343017209,-0.43136065298536863,288.85,2021-01-11
2021-03-11,SBER,BUY,7,285.48,0.0,signal,272.09571428571434,305.55642857142857,0.85,2,0,67.91312559017942,273.767,273.29,3.4814624809406496,2.139077340137962,up,6.692142857142853,1.3423851408026874,,,
2021-03-17,SBER,SELL,7,279.87428571428575,-39.239999999999895,stop_loss,279.87428571428575,305.55642857142857,0.69,2,0,59.37449095943965,277.815,274.437,4.596749716319437,3.578722681076717,,,1.0180270352427194,,285.48,2021-03-11
2021-04-01,SBER,BUY,5,288.86,0.0,signal,275.45,308.975,0.6,2,0,53.037293348712055,286.2555,275.97700000000003,4.006064469407249,4.004826900172738,up,6.7050000000000045,0.0012375692345116818,,,
2021-04-07,SBER,SELL,5,278.8957142857143,-49.82142857142861,stop_loss,278.8957142857143,308.975,0.0,1,1,48.79725085910652,287.408,277.337,2.268509322858165,3.443435821754903,,,-1.1749264988967378,-0.8398430280910913,288.86,2021-04-01
2021-04-22,SBER,BUY,6,292.21,0.0,signal,281.08428571428567,308.8985714285714,0.82,2,0,50.60930116886341,287.37199999999996,281.7178,1.61518452834531,1.4237692998663527,up,5.56285714285715,0.1914152284789572,,,
2021-05-06,SBER,SELL,6,308.8985714285714,100.13142857142861,take_profit,302.6657142857143,308.8985714285714,0.0,2,3,92.40470048724568,292.312,287.2684,5.499157809335259,3.6757587005770764,,,1.8233991087581822,1.3032150970340322,292.21,2021-04-22
2021-05-12,SBER,BUY,5,303.27,0.0,signal,290.0785714285714,323.0571428571429,0.6,2,0,64.73101573120991,298.1125,290.42900000000003,6.484963286267941,5.591025344919789,up,6.595714285714292,0.8939379413481525,,,
2021-06-29,SBER,SELL,5,306.5585714285714,16.442857142857008,stop_loss,306.5585714285714,323.0571428571429,0.55,0,1,29.552368535419447,311.9995,306.4694,0.7520372439758489,1.8141033198875272,,,-1.0620660759116782,,303.27,2021-05-12
2021-09-30,SBER,BUY,5,340.99,0.0,signal,328.53000000000003,359.68,1.0,2,0,63.7808526551982,328.68899999999996,323.93879999999996,2.0830057615745545,1.5714734252820592,up,6.229999999999998,0.5115323362924953,,,
