date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-03-29,SIBN,BUY,6,296.7,0.0,signal,286.74285714285713,311.6357142857143,0.6699999999999999,3,0,57.4468085106383,290.8725,283.492,3.2487344185535107,3.134313298778817,up,4.978571428571432,0.11442111977469382,-0.11935224350523121,,
2018-04-04,SIBN,SELL,6,302.1,32.400000000000205,signal,293.0785714285715,311.6357142857143,1.0,2,4,81.77083333333334,291.98,286.051,4.110470403255135,3.5144414319654333,,,0.596028971289702,0.37461291835182386,296.7,2018-03-29
2018-04-09,SIBN,BUY,6,291.0,0.0,signal,278.92857142857144,309.10714285714283,0.69,3,0,51.90343546889509,294.0075,288.07,4.845106132854767,4.412946249640876,up,6.035714285714282,0.43215988321389087,1.7277153563909922,,
2018-04-11,SIBN,SELL,6,289.98571428571427,-6.085714285714403,stop_loss,289.98571428571427,309.10714285714283,0.92,1,4,50.293159609120515,295.05499999999995,288.843,3.8400081243151476,4.375733408085196,,,-0.5357252837700486,0.38687391754733014,291.0,2018-04-09
2018-05-02,SIBN,BUY,6,310.9,0.0,signal,297.09999999999997,331.59999999999997,0.85,3,1,67.55386565272494,303.6925,295.765,3.5607984217550097,3.326642100015204,up,6.900000000000001,0.2341563217398055,-0.0065127328799983175,,
2018-05-11,SIBN,SELL,6,331.59999999999997,124.19999999999993,take_profit,308.59999999999997,331.59999999999997,1.0,2,4,83.23170731707329,307.3025,299.35200000000003,5.067117912937988,4.007408287379909,,,1.059709625558079,0.6477422892149423,310.9,2018-05-02
2018-07-02,SIBN,BUY,6,323.9,0.0,signal,307.60714285714283,348.33928571428567,0.82,4,0,43.205574912891976,320.17999999999995,319.293,-1.1419939884009978,-1.2107531150526416,up,8.14642857142856,0.06875912665164385,-0.6120370875419723,,
2018-07-06,SIBN,SELL,6,335.0,66.60000000000014,signal,318.5785714285714,348.33928571428567,0.85,1,3,66.53944020356232,321.5325,321.80199999999996,2.6787400798224894,0.44094005570477923,,,2.23780002411771,2.0461667132809516,323.9,2018-07-02
2018-07-31,SIBN,BUY,6,328.2,0.0,signal,315.6142857142857,347.0785714285714,0.7000000000000001,2,1,34.108527131783006,335.7975,327.996,0.7787628198899483,2.705779944313552,up,6.2928571428571365,-1.9270171244236036,-1.9618246372114898,,
2018-08-08,SIBN,SELL,6,319.90714285714284,-49.75714285714287,stop_loss,319.90714285714284,347.0785714285714,1.0,5,1,27.327327327327325,332.81,327.498,-1.3553385117481866,0.48868420873888646,,,-1.8440227204870732,-1.1789928117744006,328.2,2018-07-31
2018-08-28,SIBN,BUY,4,335.5,0.0,signal,316.65714285714284,363.76428571428573,0.72,2,1,68.22429906542057,331.79,330.249,1.2392455194975014,0.9683586869167704,up,9.421428571428569,0.270886832580731,0.2632466324738225,,
2018-09-07,SIBN,SELL,4,324.8857142857143,-42.4571428571428,stop_loss,324.8857142857143,363.76428571428573,0.42000000000000004,1,1,40.534521158129145,334.885,333.759,0.3613309875264008,1.2428442709710767,,,-0.8815132834446759,-0.44456692466374337,335.5,2018-08-28
2018-11-08,SIBN,BUY,4,389.5,0.0,signal,366.75714285714287,423.6142857142857,0.85,3,1,66.11418047882137,380.04,361.50200000000007,6.044530359494274,5.982501375264698,up,11.371428571428567,0.0620289842295767,-0.15339974939046908,,
2018-11-09,SIBN,SELL,4,377.0,-50.0,signal,366.75714285714287,423.6142857142857,0.67,1,3,59.04605263157895,380.005,362.26599999999996,5.159428573093521,5.817886814830463,,,-0.658458241736942,0.0620289842295767,389.5,2018-11-08
2018-12-03,SIBN,BUY,3,378.2,0.0,signal,351.75714285714287,417.8642857142857,0.7000000000000001,3,1,51.86046511627906,369.55,373.22,-2.6975736606032683,-2.9184573467022856,sideways,13.221428571428573,0.22088368609901732,-1.2496225175786515,,
2018-12-13,SIBN,SELL,3,363.8,-43.19999999999993,signal,358.7,417.8642857142857,0.5,0,3,57.980049875311735,367.55,375.338,-0.40499112359896117,-0.12207189650981136,,,-0.2829192270891498,0.24428093876529272,378.2,2018-12-03
2019-04-30,SIBN,BUY,5,360.0,0.0,signal,346.2,380.7,0.87,3,1,66.43757159221082,347.5625,335.3960000000001,8.511752470103545,7.129770301473261,up,6.899999999999993,1.3819821686302838,1.9539489156346006,,
2019-05-08,SIBN,SELL,5,350.3,-48.49999999999994,stop_loss,350.3,380.7,0.42000000000000004,1,1,57.799442896935965,354.6925,337.694,6.410615154104107,7.288451389588575,,,-0.8778362354844678,-0.3647797531528827,360.0,2019-04-30
2019-05-28,SIBN,BUY,4,368.0,0.0,signal,348.01428571428573,397.9785714285714,0.69,3,0,58.39636913767021,360.2875,346.466,6.615351867887625,5.3709694554888685,up,9.992857142857137,1.2443824123987568,1.8261964770152108,,
2019-06-04,SIBN,SELL,4,367.0,-4.0,signal,354.45714285714286,397.9785714285714,0.7999999999999999,1,3,65.65074135090609,362.6825,351.015,5.6790335061628525,5.958117484242783,,,-0.2790839780799308,0.2399060200932972,368.0,2019-05-28
2019-06-13,SIBN,BUY,5,392.3,0.0,signal,375.15000000000003,418.02500000000003,1.0,5,2,66.59877800407335,369.765,357.22,6.206474906919823,5.347661582742484,up,8.575000000000001,0.8588133241773388,-0.336767569839032,,
2019-06-14,SIBN,SELL,5,398.0,28.499999999999943,signal,380.0571428571429,418.02500000000003,1.0,2,4,71.37546468401489,372.075,358.665,7.695370241005321,5.8172033143950514,,,1.8781669266102696,0.8588133241773388,392.3,2019-06-13
2019-07-31,SIBN,BUY,4,426.55,0.0,signal,413.61428571428576,445.9535714285714,0.87,3,1,64.12121212121218,411.48,396.982,5.60632932535799,5.12381392413524,up,6.467857142857132,0.4825154012227504,-0.2863374395077276,,
2019-08-01,SIBN,SELL,4,435.95,37.59999999999991,signal,422.70714285714286,445.9535714285714,1.0,2,4,76.68449197860964,412.6725,398.101,6.98918444710597,5.496888028729386,,,1.4922964183765837,0.4825154012227504,426.55,2019-07-31
2019-08-02,SIBN,BUY,4,424.4,0.0,signal,409.9642857142857,446.0535714285714,0.69,3,0,60.19503546099292,413.1925,399.069,7.0716016000753825,5.811830742998586,up,7.217857142857135,1.2597708570767967,1.4922964183765837,,
2019-08-08,SIBN,SELL,4,422.0,-9.599999999999909,signal,409.9642857142857,446.0535714285714,0.95,1,4,67.98561151079136,414.64250000000004,402.972,5.910082297761903,6.024112935571653,,,-0.11403063780974954,0.07777267860520531,424.4,2019-08-02
2019-08-21,SIBN,BUY,4,420.2,0.0,signal,405.68571428571425,441.9714285714286,0.7000000000000001,2,1,31.49236192714457,420.43,411.77600000000007,2.553864728640633,3.946870601780296,up,7.257142857142859,-1.3930058731396628,-1.6549921864607526,,
2019-09-03,SIBN,SELL,4,407.0,-52.799999999999955,stop_loss,407.0,441.9714285714286,1.0,4,1,33.07262569832402,418.10249999999996,414.486,-0.3393426361382126,1.2141454511636873,,,-1.5534880873019,-1.153538231906949,420.2,2019-08-21
2019-10-14,SIBN,BUY,4,425.9,0.0,signal,414.3357142857143,443.2464285714285,0.6699999999999999,3,0,61.67664670658673,418.98,417.75199999999995,1.1668388638004217,0.7333537755111348,up,5.782142857142852,0.4334850882892869,-0.013516219767919946,,
2019-10-17,SIBN,SELL,4,413.0,-51.59999999999991,stop_loss,416.75,443.2464285714285,0.69,3,0,44.15887850467291,419.6650000000001,417.87,1.588942722097272,1.2100727903394788,,,0.37886993175779327,0.9075767940627695,425.9,2019-10-14
2019-11-06,SIBN,BUY,4,421.8,0.0,signal,412.4857142857143,435.77142857142854,0.7899999999999999,4,0,39.26174496644297,418.52250000000004,417.214,0.071064856130306,-0.23114482161723748,up,4.657142857142849,0.3022096777475435,-0.00469463942873527,,
2019-11-14,SIBN,SELL,4,417.0,-19.200000000000045,signal,414.6071428571429,435.77142857142854,0.77,1,3,50.73068893528188,417.8325,418.108,0.5213576486428337,0.42307817290821886,,,0.09827947573461487,0.4017651431340577,421.8,2019-11-06
2019-11-19,SIBN,BUY,4,425.1,0.0,signal,415.3857142857143,439.6714285714286,0.6699999999999999,3,0,63.45840130505705,418.9125,418.80800000000005,1.168812217191089,0.6600333797841665,up,4.857142857142857,0.5087788374069225,0.2974834241477041,,
2019-11-28,SIBN,SELL,4,417.2785714285714,-31.285714285714448,stop_loss,417.2785714285714,439.6714285714286,0.62,1,2,45.29220779220782,421.43500000000006,419.57300000000004,0.9790175305489583,1.2899200117251417,,,-0.31090248117618335,0.1899748874119811,425.1,2019-11-19
2019-12-18,SIBN,BUY,4,423.3,0.0,signal,413.53571428571433,437.94642857142856,0.69,3,0,62.970711297071155,420.87,420.06200000000007,0.6554608910886941,0.19026055987817733,up,4.8821428571428465,0.46520033121051674,0.43706950727853344,,
2019-12-24,SIBN,SELL,4,414.4642857142857,-35.342857142857156,stop_loss,414.4642857142857,437.94642857142856,0.62,1,2,55.7065217391305,420.26000000000005,420.145,0.4839679191281334,0.49619294389084,,,-0.012225024762706593,0.29664545414147436,423.3,2019-12-18
2020-01-23,SIBN,BUY,3,450.0,0.0,signal,426.8,484.79999999999995,0.72,2,1,67.58986446670596,442.04499999999996,429.58099999999996,10.276618104352394,9.450991514391927,up,11.599999999999994,0.8256265899604678,2.1844582982753664,,
2020-02-26,SIBN,SELL,3,440.8857142857143,-27.3428571428571,stop_loss,440.8857142857143,484.79999999999995,0.42000000000000004,1,1,40.256566890653644,451.9200000000001,443.8810000000001,0.8440493330868435,2.8746806995171372,,,-2.0306313664302937,-1.2640946541938267,450.0,2020-01-23
2020-05-08,SIBN,BUY,3,331.9,0.0,signal,309.5857142857143,365.3714285714285,0.75,3,1,66.97819314641745,322.00750000000005,321.942,1.691634403461478,-0.7974827533981506,up,11.157142857142848,2.4891171568596286,2.7427699303747195,,
2020-06-02,SIBN,SELL,3,345.0,39.30000000000007,signal,330.90714285714284,365.3714285714285,1.0,2,4,70.45045045045042,330.7125,321.005,3.671290950661671,2.2954114122873595,,,1.3758795383743117,0.8952302907049798,331.9,2020-05-08
