date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-03-19,TATNP,BUY,3,405.5,0.0,signal,383.3142857142857,438.7785714285714,0.64,1,0,35.62043795620437,412.77,405.204,2.3265413450373558,3.617460174544046,up,11.092857142857143,-1.29091882950669,-0.8269953344268846,,
2018-04-09,TATNP,SELL,3,411.9428571428571,19.328571428571365,stop_loss,411.9428571428571,438.7785714285714,0.69,2,0,57.72532188841199,414.15,409.86799999999994,3.089869348693071,2.8138033008939645,,,0.2760660477991066,1.1123208023582638,405.5,2018-03-19
2018-05-08,TATNP,BUY,3,464.6,0.0,signal,438.14285714285717,504.2857142857143,0.72,2,0,66.13924050632912,450.06000000000006,428.07,12.297125802621053,12.086071123471049,up,13.228571428571415,0.21105467915000453,0.7266216150647598,,
2018-05-15,TATNP,SELL,3,504.2857142857143,119.05714285714276,take_profit,465.3285714285715,504.2857142857143,0.0,0,1,76.66303162486369,461.505,434.20599999999996,15.488372358283414,13.354825934049678,,,2.133546424233735,1.7927769903520812,464.6,2018-05-08
2018-05-22,TATNP,BUY,3,490.0,0.0,signal,462.91428571428577,530.6285714285714,0.72,2,0,66.44204851752022,476.7,442.57599999999996,16.208873430222468,15.63274567035022,up,13.542857142857128,0.5761277598722483,1.6502080834077635,,
2018-05-29,TATNP,SELL,3,464.20000000000005,-77.39999999999986,stop_loss,464.20000000000005,530.6285714285714,0.0,0,0,48.322147651006716,479.88,448.832,7.2141878279877005,12.229491181900972,,,-5.015303353913271,-4.019140478533714,490.0,2018-05-22
2018-06-13,TATNP,BUY,4,465.0,0.0,signal,443.0857142857143,497.8714285714285,0.87,2,0,27.989130434782552,473.41999999999996,460.15,-0.8382684743774007,1.2280032553511357,up,10.957142857142847,-2.0662717297285367,-2.5140118761990538,,
2018-06-15,TATNP,SELL,4,483.5,74.0,signal,460.6571428571429,497.8714285714285,0.8500000000000001,0,2,69.39759036144586,470.83500000000004,462.17400000000004,0.6115505052862318,0.7759441836849753,,,-0.16439367839874353,-1.6438426082658983,465.0,2018-06-13
2018-06-20,TATNP,BUY,4,473.0,0.0,signal,454.22857142857146,501.15714285714284,0.82,2,0,57.429048414023356,467.6650000000001,465.486,0.9031203840510216,0.8580371392762771,up,9.385714285714284,0.04508324477474446,-0.19397183764470682,,
2018-06-22,TATNP,SELL,4,466.4,-26.40000000000009,signal,455.51428571428573,501.15714285714284,0.85,0,3,50.59701492537311,466.96999999999997,467.55600000000004,0.757232765994388,0.8875862854168668,,,-0.13035351942247875,0.24855010398483723,473.0,2018-06-20
2018-07-10,TATNP,BUY,3,473.6,0.0,signal,452.7714285714286,504.84285714285716,0.65,1,0,50.38659793814435,465.9150000000001,471.13,-1.0845381699971313,-1.654331613856004,sideways,10.41428571428572,0.5697934438588728,-0.3395009280866794,,
2018-07-18,TATNP,SELL,3,484.0,31.199999999999932,signal,466.22857142857146,504.84285714285716,0.87,0,2,71.97802197802197,468.6,472.902,3.841534288200023,1.4757405060404398,,,2.3657937821595834,2.3239088549533142,473.6,2018-07-10
2018-08-28,TATNP,BUY,3,516.0,0.0,signal,498.9714285714286,541.5428571428572,1.0,2,0,67.36111111111114,500.59499999999997,483.718,6.579551966896815,6.501583036027865,up,8.514285714285718,0.07796893086895018,-0.6587724717599315,,
2018-08-29,TATNP,SELL,3,516.8,2.3999999999998636,stop_loss,516.8,541.5428571428572,1.0,0,2,76.96078431372553,503.235,484.978,8.69250365308659,6.939767159439611,,,1.752736493646979,0.07796893086895018,516.0,2018-08-28
2018-09-21,TATNP,BUY,3,544.9,0.0,signal,522.1428571428571,579.0357142857143,0.6699999999999999,2,0,60.53571428571424,530.28,507.45,8.927438295245793,8.744358045249731,up,11.378571428571442,0.18308024999606154,-0.26915389838676695,,
